2025-10-28 14:32:14, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 0, Flipped 2847702012, [+] System running normally
2025-10-28 14:32:58, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 18, Flipped 2847439869, [+] System running normally
2025-10-28 14:33:00, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 19, Flipped 2847177725, [+] System running normally
2025-10-28 14:33:02, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 20, Flipped 2846653437, [+] System running normally
2025-10-28 14:33:06, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 21, Flipped 2845604861, [+] System running normally
2025-10-28 14:33:10, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 22, Flipped 2851896317, [+] System running normally
2025-10-28 14:33:12, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 23, Flipped 2839313405, [+] System running normally
2025-10-28 14:33:14, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 24, Flipped 2830924797, [+] System running normally
2025-10-28 14:33:16, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 25, Flipped 2881256445, [+] System running normally
2025-10-28 14:33:20, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 26, Flipped 2914810877, [+] System running normally
2025-10-28 14:33:22, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 27, Flipped 2713484285, [+] System running normally
2025-10-28 14:33:24, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 28, Flipped 3116137469, [+] System running normally
2025-10-28 14:33:28, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 29, Flipped 2310831101, [+] System running normally
2025-10-28 14:33:30, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 30, Flipped 3921443837, [+] System running normally
2025-10-28 14:33:32, Instruction: 0xffff800010ba66b8, Mem: 2847702013, Flipped bit 31, Flipped 700218365, [+] System running normally
2025-10-28 14:33:34, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 0, Flipped 2852193252, [+] System running normally
2025-10-28 14:36:59, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 1, Flipped 2852193255, [+] System running normally
2025-10-28 14:37:01, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 2, Flipped 2852193249, [+] System running normally
2025-10-28 14:37:03, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 3, Flipped 2852193261, [+] System running normally
2025-10-28 14:37:05, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 4, Flipped 2852193269, [+] System running normally
2025-10-28 14:37:07, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 5, Flipped 2852193221, [+] System running normally
2025-10-28 14:37:09, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 6, Flipped 2852193189, [+] System running normally
2025-10-28 14:37:13, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 7, Flipped 2852193125, [+] System running normally
2025-10-28 14:37:15, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 8, Flipped 2852192997, [+] System running normally
2025-10-28 14:37:17, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 9, Flipped 2852192741, [+] System running normally
2025-10-28 14:37:19, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 10, Flipped 2852194277, [+] System running normally
2025-10-28 14:37:21, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 11, Flipped 2852195301, [+] System running normally
2025-10-28 14:37:23, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 12, Flipped 2852197349, [+] System running normally
2025-10-28 14:37:25, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 13, Flipped 2852201445, [+] System running normally
2025-10-28 14:37:27, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 14, Flipped 2852209637, [+] System running normally
2025-10-28 14:37:29, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 15, Flipped 2852226021, [+] System running normally
2025-10-28 14:37:31, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 16, Flipped 2852127717, [+] System running normally
2025-10-28 14:37:33, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 17, Flipped 2852324325, [+] System running normally
2025-10-28 14:37:35, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 18, Flipped 2852455397, [+] System running normally
2025-10-28 14:37:37, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 19, Flipped 2852717541, [+] System running normally
2025-10-28 14:37:41, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 20, Flipped 2853241829, [+] System running normally
2025-10-28 14:37:43, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 21, Flipped 2854290405, [+] System running normally
2025-10-28 14:37:45, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 22, Flipped 2856387557, [+] System running normally
2025-10-28 14:37:47, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 23, Flipped 2860581861, [+] System running normally
2025-10-28 14:37:49, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 24, Flipped 2868970469, [+] System running normally
2025-10-28 14:37:51, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 25, Flipped 2818638821, [+] System running normally
2025-10-28 14:37:53, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 26, Flipped 2919302117, [+] System running normally
2025-10-28 14:37:55, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 27, Flipped 2717975525, [+] System running normally
2025-10-28 14:37:57, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 28, Flipped 3120628709, [+] System running normally
2025-10-28 14:37:59, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 29, Flipped 2315322341, [+] System running normally
2025-10-28 14:38:01, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 30, Flipped 3925935077, [+] System running normally
2025-10-28 14:38:03, Instruction: 0xffff800010ba66bc, Mem: 2852193253, Flipped bit 31, Flipped 704709605, [+] System running normally
2025-10-28 14:38:05, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 0, Flipped 1912609822, [+] System running normally
2025-10-28 14:38:07, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 1, Flipped 1912609821, [+] System running normally
2025-10-28 14:38:09, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 2, Flipped 1912609819, [+] System running normally
2025-10-28 14:38:11, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 3, Flipped 1912609815, [+] System running normally
2025-10-28 14:38:13, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 4, Flipped 1912609807, [+] System running normally
2025-10-28 14:38:15, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 5, Flipped 1912609855, [+] System running normally
2025-10-28 14:38:17, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 6, Flipped 1912609887, [+] System running normally
2025-10-28 14:38:19, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 7, Flipped 1912609951, [+] System running normally
2025-10-28 14:38:21, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 8, Flipped 1912610079, [+] System running normally
2025-10-28 14:38:23, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 9, Flipped 1912610335, [+] System running normally
2025-10-28 14:38:25, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 10, Flipped 1912608799, [+] System running normally
2025-10-28 14:38:29, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 11, Flipped 1912607775, [+] System running normally
2025-10-28 14:38:31, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 12, Flipped 1912605727, [+] System running normally
2025-10-28 14:38:33, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 13, Flipped 1912618015, [+] System running normally
2025-10-28 14:38:35, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 14, Flipped 1912626207, [+] System running normally
2025-10-28 14:38:37, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 15, Flipped 1912642591, [+] System running normally
2025-10-28 14:38:39, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 16, Flipped 1912675359, [+] System running normally
2025-10-28 14:38:41, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 17, Flipped 1912740895, [+] System running normally
2025-10-28 14:38:43, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 18, Flipped 1912871967, [+] System running normally
2025-10-28 14:38:45, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 19, Flipped 1913134111, [+] System running normally
2025-10-28 14:38:47, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 20, Flipped 1913658399, [+] System running normally
2025-10-28 14:38:49, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 21, Flipped 1914706975, [+] System running normally
2025-10-28 14:38:51, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 22, Flipped 1916804127, [+] System running normally
2025-10-28 14:38:53, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 23, Flipped 1920998431, [+] System running normally
2025-10-28 14:38:55, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 24, Flipped 1929387039, [+] System running normally
2025-10-28 14:38:57, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 25, Flipped 1879055391, [+] System running normally
2025-10-28 14:39:01, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 26, Flipped 1979718687, [+] System running normally
2025-10-28 14:39:03, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 27, Flipped 2046827551, [+] System running normally
2025-10-28 14:39:05, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 28, Flipped 1644174367, [+] System running normally
2025-10-28 14:39:07, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 29, Flipped 1375738911, [+] System running normally
2025-10-28 14:39:10, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 30, Flipped 838867999, [+] System running normally
2025-10-28 14:39:12, Instruction: 0xffff800010ba66c0, Mem: 1912609823, Flipped bit 31, Flipped 4060093471, [+] System running normally
2025-10-28 14:39:14, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 0, Flipped 2432697340, [+] System running normally
2025-10-28 14:39:18, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 1, Flipped 2432697343, [+] System running normally
2025-10-28 14:39:20, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 2, Flipped 2432697337, [+] System running normally
2025-10-28 14:39:22, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 3, Flipped 2432697333, [+] System running normally
2025-10-28 14:39:24, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 4, Flipped 2432697325, [+] System running normally
2025-10-28 14:39:28, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 5, Flipped 2432697309, [+] System running normally
2025-10-28 14:39:30, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 6, Flipped 2432697277, [+] System running normally
2025-10-28 14:39:32, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 7, Flipped 2432697213, [+] System running normally
2025-10-28 14:39:34, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 8, Flipped 2432697085, [+] System running normally
2025-10-28 14:39:36, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 9, Flipped 2432696829, [+] System running normally
2025-10-28 14:39:38, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 10, Flipped 2432698365, [+] System running normally
2025-10-28 14:39:40, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 11, Flipped 2432699389, [+] System running normally
2025-10-28 14:39:42, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 12, Flipped 2432701437, [+] System running normally
2025-10-28 14:39:46, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 13, Flipped 2432705533, [+] System running normally
2025-10-28 14:39:48, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 14, Flipped 2432713725, [+] System running normally
2025-10-28 14:39:50, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 15, Flipped 2432730109, [+] System running normally
2025-10-28 14:39:52, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 16, Flipped 2432762877, [+] System running normally
2025-10-28 14:39:54, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 17, Flipped 2432828413, [+] System running normally
2025-10-28 14:39:56, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 18, Flipped 2432959485, [+] System running normally
2025-10-28 14:39:58, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 19, Flipped 2433221629, [+] System running normally
2025-10-28 14:40:00, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 20, Flipped 2433745917, [+] System running normally
2025-10-28 14:40:02, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 21, Flipped 2434794493, [+] System running normally
2025-10-28 14:40:04, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 22, Flipped 2436891645, [+] System running normally
2025-10-28 14:40:06, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 23, Flipped 2441085949, [+] System running normally
2025-10-28 14:40:08, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 24, Flipped 2415920125, [+] System running normally
2025-10-28 14:40:10, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 25, Flipped 2466251773, [+] System running normally
2025-10-28 14:40:12, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 26, Flipped 2499806205, [+] System running normally
2025-10-28 14:40:14, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 27, Flipped 2566915069, [+] System running normally
2025-10-28 14:40:16, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 28, Flipped 2164261885, [+] System running normally
2025-10-28 14:40:18, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 29, Flipped 2969568253, [+] System running normally
2025-10-28 14:40:20, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 30, Flipped 3506439165, [+] System running normally
2025-10-28 14:40:24, Instruction: 0xffff800010ba66c4, Mem: 2432697341, Flipped bit 31, Flipped 285213693, [+] System running normally
2025-10-28 14:40:26, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 0, Flipped 4177531892, [+] System running normally
2025-10-28 14:40:28, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 1, Flipped 4177531895, [+] System running normally
2025-10-28 14:40:30, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 2, Flipped 4177531889, [+] System running normally
2025-10-28 14:40:32, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 3, Flipped 4177531901, [+] System running normally
2025-10-28 14:40:34, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 4, Flipped 4177531877, [+] System running normally
2025-10-28 14:40:36, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 5, Flipped 4177531861, [+] System running normally
2025-10-28 14:40:38, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 6, Flipped 4177531829, [+] System running normally
2025-10-28 14:40:40, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 7, Flipped 4177531765, [+] System running normally
2025-10-28 14:40:42, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 8, Flipped 4177531637, [+] System running normally
2025-10-28 14:40:44, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 9, Flipped 4177531381, [+] System running normally
2025-10-28 14:40:46, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 10, Flipped 4177532917, [+] System running normally
2025-10-28 14:40:48, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 11, Flipped 4177533941, [+] System running normally
2025-10-28 14:40:50, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 12, Flipped 4177527797, [+] System running normally
2025-10-28 14:40:52, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 13, Flipped 4177540085, [+] System running normally
2025-10-28 14:40:54, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 14, Flipped 4177548277, [+] System running normally
2025-10-28 14:40:56, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 15, Flipped 4177564661, [+] System running normally
2025-10-28 14:40:58, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 16, Flipped 4177597429, [+] System running normally
2025-10-28 14:41:00, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 17, Flipped 4177662965, [+] System running normally
2025-10-28 14:41:02, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 18, Flipped 4177794037, [+] System running normally
2025-10-28 14:41:04, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 19, Flipped 4178056181, [+] System running normally
2025-10-28 14:41:06, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 20, Flipped 4178580469, [+] System running normally
2025-10-28 14:41:08, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 21, Flipped 4179629045, [+] System running normally
2025-10-28 14:41:10, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 22, Flipped 4181726197, [+] System running normally
2025-10-28 14:41:12, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 23, Flipped 4185920501, [+] System running normally
2025-10-28 14:41:14, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 24, Flipped 4160754677, [+] System running normally
2025-10-28 14:41:16, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 25, Flipped 4211086325, [+] System running normally
2025-10-28 14:41:18, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 26, Flipped 4244640757, [+] System running normally
2025-10-28 14:41:20, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 27, Flipped 4043314165, [+] System running normally
2025-10-28 14:41:23, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 28, Flipped 3909096437, [+] System running normally
2025-10-28 14:41:27, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 29, Flipped 3640660981, [+] System running normally
2025-10-28 14:41:29, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 30, Flipped 3103790069, [+] System running normally
2025-10-28 14:41:31, Instruction: 0xffff800010ba66c8, Mem: 4177531893, Flipped bit 31, Flipped 2030048245, [+] System running normally
2025-10-28 14:41:33, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 0, Flipped 2034324513, [+] System running normally
2025-10-28 14:41:35, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 1, Flipped 2034324514, [+] System running normally
2025-10-28 14:41:37, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 2, Flipped 2034324516, [+] System running normally
2025-10-28 14:41:39, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 3, Flipped 2034324520, [+] System running normally
2025-10-28 14:41:41, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 4, Flipped 2034324528, [+] System running normally
2025-10-28 14:41:43, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 5, Flipped 2034324480, [+] System running normally
2025-10-28 14:41:45, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 6, Flipped 2034324576, [+] System running normally
2025-10-28 14:41:47, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 7, Flipped 2034324640, [+] System running normally
2025-10-28 14:41:51, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 8, Flipped 2034324768, [+] System running normally
2025-10-28 14:41:53, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 9, Flipped 2034325024, [+] System running normally
2025-10-28 14:41:55, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 10, Flipped 2034323488, [+] System running normally
2025-10-28 14:41:57, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 11, Flipped 2034326560, [+] System running normally
2025-10-28 14:41:59, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 12, Flipped 2034320416, [+] System running normally
2025-10-28 14:42:01, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 13, Flipped 2034332704, [+] System running normally
2025-10-28 14:42:03, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 14, Flipped 2034308128, [+] System running normally
2025-10-28 14:42:05, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 15, Flipped 2034357280, [+] System running normally
2025-10-28 14:42:07, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 16, Flipped 2034258976, [+] System running normally
2025-10-28 14:42:09, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 17, Flipped 2034455584, [+] System running normally
2025-10-28 14:42:11, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 18, Flipped 2034586656, [+] System running normally
2025-10-28 14:42:15, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 19, Flipped 2034848800, [+] System running normally
2025-10-28 14:42:19, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 20, Flipped 2035373088, [+] System running normally
2025-10-28 14:42:21, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 21, Flipped 2036421664, [+] System running normally
2025-10-28 14:42:23, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 22, Flipped 2030130208, [+] System running normally
2025-10-28 14:42:25, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 23, Flipped 2042713120, [+] System running normally
2025-10-28 14:42:27, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 24, Flipped 2017547296, [+] System running normally
2025-10-28 14:42:29, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 25, Flipped 2067878944, [+] System running normally
2025-10-28 14:42:31, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 26, Flipped 2101433376, [+] System running normally
2025-10-28 14:42:33, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 27, Flipped 1900106784, [+] System running normally
2025-10-28 14:42:35, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 28, Flipped 1765889056, [+] System running normally
2025-10-28 14:42:37, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 29, Flipped 1497453600, [+] System running normally
2025-10-28 14:42:39, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 30, Flipped 960582688, [+] System running normally
2025-10-28 14:42:41, Instruction: 0xffff800010ba66cc, Mem: 2034324512, Flipped bit 31, Flipped 4181808160, [+] System running normally
2025-10-28 14:42:43, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 0, Flipped 4181744672, [+] System running normally
2025-10-28 14:42:45, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 1, Flipped 4181744675, [+] System running normally
2025-10-28 14:42:47, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 2, Flipped 4181744677, [+] System running normally
2025-10-28 14:42:49, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 3, Flipped 4181744681, [+] System running normally
2025-10-28 14:42:51, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 4, Flipped 4181744689, [+] System running normally
2025-10-28 14:42:53, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 5, Flipped 4181744641, [+] System running normally
2025-10-28 14:42:55, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 6, Flipped 4181744737, [+] System running normally
2025-10-28 14:42:57, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 7, Flipped 4181744801, [+] System running normally
2025-10-28 14:42:59, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 8, Flipped 4181744929, [+] System running normally
2025-10-28 14:43:01, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 9, Flipped 4181745185, [+] System running normally
2025-10-28 14:43:05, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 10, Flipped 4181743649, [+] System running normally
2025-10-28 14:43:07, Instruction: 0xffff800010ba66d0, Mem: 4181744673, Flipped bit 11, Flipped 4181742625, [+] System running normally
