2025-10-28 19:58:28, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 0, Flipped 2847767548, [+] System running normally
2025-10-28 19:59:03, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 15, Flipped 2847800317, [+] System running normally
2025-10-28 19:59:05, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 16, Flipped 2847702013, [+] System running normally
2025-10-28 19:59:07, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 17, Flipped 2847898621, [+] System running normally
2025-10-28 19:59:09, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 18, Flipped 2847505405, [+] System running normally
2025-10-28 19:59:11, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 19, Flipped 2847243261, [+] System running normally
2025-10-28 19:59:13, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 20, Flipped 2846718973, [+] System running normally
2025-10-28 19:59:15, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 21, Flipped 2845670397, [+] System running normally
2025-10-28 19:59:17, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 22, Flipped 2851961853, [+] System running normally
2025-10-28 19:59:19, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 23, Flipped 2839378941, [+] System running normally
2025-10-28 19:59:21, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 24, Flipped 2830990333, [+] System running normally
2025-10-28 19:59:23, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 25, Flipped 2881321981, [+] System running normally
2025-10-28 19:59:25, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 26, Flipped 2914876413, [+] System running normally
2025-10-28 19:59:27, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 27, Flipped 2713549821, [+] System running normally
2025-10-28 19:59:29, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 28, Flipped 3116203005, [+] System running normally
2025-10-28 19:59:31, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 29, Flipped 2310896637, [+] System running normally
2025-10-28 19:59:33, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 30, Flipped 3921509373, [!] Exception detected! [{'flag': 'Error'}, {'Oops': 'Oops - BUG: 0 [#1] PREEMPT SMP'}]
2025-10-28 20:02:55, Instruction: 0xffff800010ba71f0, Mem: 2847767549, Flipped bit 31, Flipped 700283901, [+] System running normally
2025-10-28 20:02:57, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 0, Flipped 2432697340, [+] System running normally
2025-10-28 20:02:59, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 1, Flipped 2432697343, [+] System running normally
2025-10-28 20:03:03, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 2, Flipped 2432697337, [+] System running normally
2025-10-28 20:03:05, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 3, Flipped 2432697333, [+] System running normally
2025-10-28 20:03:07, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 4, Flipped 2432697325, [+] System running normally
2025-10-28 20:03:09, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 5, Flipped 2432697309, [+] System running normally
2025-10-28 20:03:11, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 6, Flipped 2432697277, [+] System running normally
2025-10-28 20:03:13, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 7, Flipped 2432697213, [+] System running normally
2025-10-28 20:03:17, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 8, Flipped 2432697085, [+] System running normally
2025-10-28 20:03:19, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 9, Flipped 2432696829, [+] System running normally
2025-10-28 20:03:22, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 10, Flipped 2432698365, [+] System running normally
2025-10-28 20:03:24, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 11, Flipped 2432699389, [+] System running normally
2025-10-28 20:03:26, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 12, Flipped 2432701437, [+] System running normally
2025-10-28 20:03:28, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 13, Flipped 2432705533, [+] System running normally
2025-10-28 20:03:30, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 14, Flipped 2432713725, [+] System running normally
2025-10-28 20:03:32, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 15, Flipped 2432730109, [+] System running normally
2025-10-28 20:03:34, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 16, Flipped 2432762877, [+] System running normally
2025-10-28 20:03:36, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 17, Flipped 2432828413, [+] System running normally
2025-10-28 20:03:38, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 18, Flipped 2432959485, [+] System running normally
2025-10-28 20:03:40, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 19, Flipped 2433221629, [+] System running normally
2025-10-28 20:03:42, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 20, Flipped 2433745917, [+] System running normally
2025-10-28 20:03:44, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 21, Flipped 2434794493, [+] System running normally
2025-10-28 20:03:46, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 22, Flipped 2436891645, [+] System running normally
2025-10-28 20:03:48, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 23, Flipped 2441085949, [+] System running normally
2025-10-28 20:03:50, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 24, Flipped 2415920125, [+] System running normally
2025-10-28 20:03:52, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 25, Flipped 2466251773, [!] Exception detected! [{'flag': 'Error'}, {'Oops': 'Oops - BUG: 0 [#1] PREEMPT SMP'}]
2025-10-28 20:07:14, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 26, Flipped 2499806205, [+] System running normally
2025-10-28 20:07:16, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 27, Flipped 2566915069, [+] System running normally
2025-10-28 20:07:18, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 28, Flipped 2164261885, [+] System running normally
2025-10-28 20:07:20, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 29, Flipped 2969568253, [+] System running normally
2025-10-28 20:07:22, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 30, Flipped 3506439165, [+] System running normally
2025-10-28 20:07:24, Instruction: 0xffff800010ba71f4, Mem: 2432697341, Flipped bit 31, Flipped 285213693, [+] System running normally
2025-10-28 20:07:26, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 0, Flipped 2835436530, [+] System running normally
2025-10-28 20:07:28, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 1, Flipped 2835436529, [+] System running normally
2025-10-28 20:07:30, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 2, Flipped 2835436535, [+] System running normally
2025-10-28 20:07:32, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 3, Flipped 2835436539, [+] System running normally
2025-10-28 20:07:34, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 4, Flipped 2835436515, [+] System running normally
2025-10-28 20:07:38, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 5, Flipped 2835436499, [+] System running normally
2025-10-28 20:07:40, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 6, Flipped 2835436467, [+] System running normally
2025-10-28 20:07:42, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 7, Flipped 2835436403, [+] System running normally
2025-10-28 20:07:44, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 8, Flipped 2835436275, [+] System running normally
2025-10-28 20:07:46, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 9, Flipped 2835436019, [+] System running normally
2025-10-28 20:07:48, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 10, Flipped 2835437555, [+] System running normally
2025-10-28 20:07:50, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 11, Flipped 2835438579, [+] System running normally
2025-10-28 20:07:52, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 12, Flipped 2835432435, [+] System running normally
2025-10-28 20:07:54, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 13, Flipped 2835444723, [+] System running normally
2025-10-28 20:07:56, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 14, Flipped 2835420147, [+] System running normally
2025-10-28 20:07:58, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 15, Flipped 2835469299, [+] System running normally
2025-10-28 20:08:02, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 16, Flipped 2835370995, [+] System running normally
2025-10-28 20:08:04, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 17, Flipped 2835567603, [+] System running normally
2025-10-28 20:08:06, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 18, Flipped 2835698675, [+] System running normally
2025-10-28 20:08:08, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 19, Flipped 2835960819, [+] System running normally
2025-10-28 20:08:12, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 20, Flipped 2836485107, [+] System running normally
2025-10-28 20:08:14, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 21, Flipped 2837533683, [+] System running normally
2025-10-28 20:08:16, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 22, Flipped 2839630835, [+] System running normally
2025-10-28 20:08:18, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 23, Flipped 2843825139, [+] System running normally
2025-10-28 20:08:20, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 24, Flipped 2818659315, [+] System running normally
2025-10-28 20:08:22, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 25, Flipped 2868990963, [+] System running normally
2025-10-28 20:08:24, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 26, Flipped 2902545395, [+] System running normally
2025-10-28 20:08:26, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 27, Flipped 2701218803, [+] System running normally
2025-10-28 20:08:28, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 28, Flipped 3103871987, [+] System running normally
2025-10-28 20:08:30, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 29, Flipped 2298565619, [+] System running normally
2025-10-28 20:08:32, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 30, Flipped 3909178355, [+] System running normally
2025-10-28 20:08:34, Instruction: 0xffff800010ba71f8, Mem: 2835436531, Flipped bit 31, Flipped 687952883, [+] System running normally
2025-10-28 20:08:38, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 0, Flipped 2852193266, [+] System running normally
2025-10-28 20:08:40, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 1, Flipped 2852193265, [+] System running normally
2025-10-28 20:08:42, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 2, Flipped 2852193271, [+] System running normally
2025-10-28 20:08:44, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 3, Flipped 2852193275, [+] System running normally
2025-10-28 20:08:47, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 4, Flipped 2852193251, [+] System running normally
2025-10-28 20:08:49, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 5, Flipped 2852193235, [+] System running normally
2025-10-28 20:08:51, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 6, Flipped 2852193203, [+] System running normally
2025-10-28 20:08:53, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 7, Flipped 2852193139, [+] System running normally
2025-10-28 20:08:55, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 8, Flipped 2852193011, [+] System running normally
2025-10-28 20:08:57, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 9, Flipped 2852192755, [+] System running normally
2025-10-28 20:09:01, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 10, Flipped 2852194291, [+] System running normally
2025-10-28 20:09:03, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 11, Flipped 2852195315, [+] System running normally
2025-10-28 20:09:05, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 12, Flipped 2852197363, [+] System running normally
2025-10-28 20:09:07, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 13, Flipped 2852201459, [+] System running normally
2025-10-28 20:09:09, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 14, Flipped 2852209651, [+] System running normally
2025-10-28 20:09:11, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 15, Flipped 2852226035, [+] System running normally
2025-10-28 20:09:13, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 16, Flipped 2852127731, [+] System running normally
2025-10-28 20:09:15, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 17, Flipped 2852324339, [+] System running normally
2025-10-28 20:09:17, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 18, Flipped 2852455411, [+] System running normally
2025-10-28 20:09:19, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 19, Flipped 2852717555, [+] System running normally
2025-10-28 20:09:21, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 20, Flipped 2853241843, [+] System running normally
2025-10-28 20:09:25, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 21, Flipped 2854290419, [+] System running normally
2025-10-28 20:09:27, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 22, Flipped 2856387571, [+] System running normally
2025-10-28 20:09:29, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 23, Flipped 2860581875, [+] System running normally
2025-10-28 20:09:33, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 24, Flipped 2868970483, [+] System running normally
2025-10-28 20:09:35, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 25, Flipped 2818638835, [+] System running normally
2025-10-28 20:09:39, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 26, Flipped 2919302131, [+] System running normally
2025-10-28 20:09:41, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 27, Flipped 2717975539, [+] System running normally
2025-10-28 20:09:43, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 28, Flipped 3120628723, [+] System running normally
2025-10-28 20:09:45, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 29, Flipped 2315322355, [+] System running normally
2025-10-28 20:09:47, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 30, Flipped 3925935091, [+] System running normally
2025-10-28 20:09:49, Instruction: 0xffff800010ba71fc, Mem: 2852193267, Flipped bit 31, Flipped 704709619, [+] System running normally
2025-10-28 20:09:51, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 0, Flipped 3108073472, [+] System running normally
2025-10-28 20:09:55, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 1, Flipped 3108073475, [+] System running normally
2025-10-28 20:09:57, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 2, Flipped 3108073477, [+] System running normally
2025-10-28 20:09:59, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 3, Flipped 3108073481, [+] System running normally
2025-10-28 20:10:01, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 4, Flipped 3108073489, [+] System running normally
2025-10-28 20:13:25, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 5, Flipped 3108073505, [+] System running normally
2025-10-28 20:13:27, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 6, Flipped 3108073537, [+] System running normally
2025-10-28 20:13:29, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 7, Flipped 3108073601, [+] System running normally
2025-10-28 20:13:31, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 8, Flipped 3108073729, [+] System running normally
2025-10-28 20:13:33, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 9, Flipped 3108073985, [+] System running normally
2025-10-28 20:13:35, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 10, Flipped 3108074497, [+] System running normally
2025-10-28 20:13:37, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 11, Flipped 3108075521, [+] System running normally
2025-10-28 20:13:39, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 12, Flipped 3108069377, [+] System running normally
2025-10-28 20:13:41, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 13, Flipped 3108065281, [+] System running normally
2025-10-28 20:13:43, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 14, Flipped 3108057089, [+] System running normally
2025-10-28 20:13:45, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 15, Flipped 3108106241, [+] System running normally
2025-10-28 20:13:47, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 16, Flipped 3108007937, [+] System running normally
2025-10-28 20:13:49, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 17, Flipped 3108204545, [+] System running normally
2025-10-28 20:13:51, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 18, Flipped 3108335617, [+] System running normally
2025-10-28 20:13:53, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 19, Flipped 3108597761, [+] System running normally
2025-10-28 20:13:55, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 20, Flipped 3109122049, [+] System running normally
2025-10-28 20:13:57, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 21, Flipped 3110170625, [+] System running normally
2025-10-28 20:13:59, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 22, Flipped 3103879169, [+] System running normally
2025-10-28 20:14:01, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 23, Flipped 3116462081, [+] System running normally
2025-10-28 20:14:04, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 24, Flipped 3091296257, [+] System running normally
2025-10-28 20:14:06, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 25, Flipped 3141627905, [+] System running normally
2025-10-28 20:14:08, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 26, Flipped 3175182337, [+] System running normally
2025-10-28 20:14:10, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 27, Flipped 2973855745, [+] System running normally
2025-10-28 20:14:12, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 28, Flipped 2839638017, [+] System running normally
2025-10-28 20:14:14, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 29, Flipped 2571202561, [+] System running normally
2025-10-28 20:14:16, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 30, Flipped 4181815297, [+] System running normally
2025-10-28 20:14:18, Instruction: 0xffff800010ba7200, Mem: 3108073473, Flipped bit 31, Flipped 960589825, [+] System running normally
2025-10-28 20:14:20, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 0, Flipped 922223008, [+] System running normally
2025-10-28 20:14:22, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 1, Flipped 922223011, [+] System running normally
2025-10-28 20:14:24, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 2, Flipped 922223013, [+] System running normally
2025-10-28 20:14:26, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 3, Flipped 922223017, [+] System running normally
2025-10-28 20:14:28, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 4, Flipped 922223025, [+] System running normally
2025-10-28 20:14:30, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 5, Flipped 922222977, [+] System running normally
2025-10-28 20:14:32, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 6, Flipped 922223073, [+] System running normally
2025-10-28 20:14:34, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 7, Flipped 922222881, [+] System running normally
2025-10-28 20:14:36, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 8, Flipped 922222753, [+] System running normally
2025-10-28 20:14:38, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 9, Flipped 922223521, [+] System running normally
2025-10-28 20:14:40, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 10, Flipped 922224033, [+] System running normally
2025-10-28 20:14:42, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 11, Flipped 922225057, [+] System running normally
2025-10-28 20:14:44, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 12, Flipped 922227105, [+] System running normally
2025-10-28 20:14:46, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 13, Flipped 922231201, [+] System running normally
2025-10-28 20:14:48, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 14, Flipped 922239393, [+] System running normally
2025-10-28 20:14:50, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 15, Flipped 922255777, [+] System running normally
2025-10-28 20:14:52, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 16, Flipped 922288545, [+] System running normally
2025-10-28 20:14:54, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 17, Flipped 922354081, [+] System running normally
2025-10-28 20:14:56, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 18, Flipped 922485153, [+] System running normally
2025-10-28 20:14:58, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 19, Flipped 921698721, [+] System running normally
2025-10-28 20:15:00, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 20, Flipped 921174433, [+] System running normally
2025-10-28 20:15:02, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 21, Flipped 920125857, [+] System running normally
2025-10-28 20:15:04, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 22, Flipped 918028705, [+] System running normally
2025-10-28 20:15:06, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 23, Flipped 913834401, [+] System running normally
2025-10-28 20:15:08, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 24, Flipped 939000225, [+] System running normally
2025-10-28 20:15:10, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 25, Flipped 888668577, [+] System running normally
2025-10-28 20:15:12, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 26, Flipped 855114145, [+] System running normally
2025-10-28 20:15:14, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 27, Flipped 1056440737, [+] System running normally
2025-10-28 20:15:16, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 28, Flipped 653787553, [+] System running normally
2025-10-28 20:15:20, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 29, Flipped 385352097, [+] System running normally
2025-10-28 20:15:22, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 30, Flipped 1995964833, [+] System running normally
2025-10-28 20:15:24, Instruction: 0xffff800010ba7204, Mem: 922223009, Flipped bit 31, Flipped 3069706657, [+] System running normally
2025-10-28 20:15:26, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 0, Flipped 3019899186, [+] System running normally
2025-10-28 20:15:28, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 1, Flipped 3019899185, [+] System running normally
2025-10-28 20:15:30, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 2, Flipped 3019899191, [+] System running normally
2025-10-28 20:15:32, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 3, Flipped 3019899195, [+] System running normally
2025-10-28 20:15:36, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 4, Flipped 3019899171, [+] System running normally
2025-10-28 20:15:38, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 5, Flipped 3019899155, [+] System running normally
2025-10-28 20:15:40, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 6, Flipped 3019899251, [+] System running normally
2025-10-28 20:15:42, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 7, Flipped 3019899315, [+] System running normally
2025-10-28 20:15:44, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 8, Flipped 3019898931, [+] System running normally
2025-10-28 20:15:46, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 9, Flipped 3019899699, [+] System running normally
2025-10-28 20:15:48, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 10, Flipped 3019900211, [+] System running normally
2025-10-28 20:15:50, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 11, Flipped 3019901235, [+] System running normally
2025-10-28 20:15:52, Instruction: 0xffff800010ba7208, Mem: 3019899187, Flipped bit 12, Flipped 3019903283, [+] System running normally
