2025-10-09 17:26:27, Instruction: 0xffff800010b9aa08, Mem: 2847898621, Flipped bit 0, Flipped 2847898620, [+] System running normally
2025-10-09 17:31:30, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 8, Flipped 2432697085, [+] System running normally
2025-10-09 17:31:32, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 9, Flipped 2432696829, [+] System running normally
2025-10-09 17:31:34, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 10, Flipped 2432698365, [+] System running normally
2025-10-09 17:31:36, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 11, Flipped 2432699389, [+] System running normally
2025-10-09 17:31:38, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 12, Flipped 2432701437, [+] System running normally
2025-10-09 17:31:40, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 13, Flipped 2432705533, [+] System running normally
2025-10-09 17:31:42, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 14, Flipped 2432713725, [+] System running normally
2025-10-09 17:31:44, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 15, Flipped 2432730109, [+] System running normally
2025-10-09 17:31:46, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 16, Flipped 2432762877, [+] System running normally
2025-10-09 17:31:48, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 17, Flipped 2432828413, [+] System running normally
2025-10-09 17:31:50, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 18, Flipped 2432959485, [+] System running normally
2025-10-09 17:31:52, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 19, Flipped 2433221629, [+] System running normally
2025-10-09 17:31:54, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 20, Flipped 2433745917, [+] System running normally
2025-10-09 17:31:56, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 21, Flipped 2434794493, [+] System running normally
2025-10-09 17:32:00, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 22, Flipped 2436891645, [+] System running normally
2025-10-09 17:32:02, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 23, Flipped 2441085949, [+] System running normally
2025-10-09 17:32:04, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 24, Flipped 2415920125, [+] System running normally
2025-10-09 17:32:06, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 25, Flipped 2466251773, [+] System running normally
2025-10-09 17:32:08, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 26, Flipped 2499806205, [+] System running normally
2025-10-09 17:32:10, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 27, Flipped 2566915069, [+] System running normally
2025-10-09 17:32:12, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 28, Flipped 2164261885, [+] System running normally
2025-10-09 17:32:14, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 29, Flipped 2969568253, [+] System running normally
2025-10-09 17:32:19, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 30, Flipped 3506439165, [+] System running normally
2025-10-09 17:32:21, Instruction: 0xffff800010b9aa0c, Mem: 2432697341, Flipped bit 31, Flipped 285213693, [+] System running normally
2025-10-09 17:32:23, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 0, Flipped 961269762, [+] System running normally
2025-10-09 17:32:25, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 1, Flipped 961269761, [+] System running normally
2025-10-09 17:32:29, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 2, Flipped 961269767, [+] System running normally
2025-10-09 17:32:31, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 3, Flipped 961269771, [+] System running normally
2025-10-09 17:32:35, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 4, Flipped 961269779, [+] System running normally
2025-10-09 17:32:37, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 5, Flipped 961269795, [+] System running normally
2025-10-09 17:32:39, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 6, Flipped 961269827, [+] System running normally
2025-10-09 17:32:41, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 7, Flipped 961269891, [+] System running normally
2025-10-09 17:32:43, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 8, Flipped 961270019, [+] System running normally
2025-10-09 17:32:45, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 9, Flipped 961270275, [+] System running normally
2025-10-09 17:32:47, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 10, Flipped 961270787, [+] System running normally
2025-10-09 17:32:49, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 11, Flipped 961271811, [+] System running normally
2025-10-09 17:32:51, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 12, Flipped 961265667, [+] System running normally
2025-10-09 17:32:53, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 13, Flipped 961277955, [+] System running normally
2025-10-09 17:32:55, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 14, Flipped 961253379, [+] System running normally
2025-10-09 17:32:57, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 15, Flipped 961236995, [+] System running normally
2025-10-09 17:32:59, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 16, Flipped 961204227, [+] System running normally
2025-10-09 17:33:01, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 17, Flipped 961138691, [+] System running normally
2025-10-09 17:33:03, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 18, Flipped 961531907, [+] System running normally
2025-10-09 17:33:05, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 19, Flipped 960745475, [+] System running normally
2025-10-09 17:33:07, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 20, Flipped 962318339, [+] System running normally
2025-10-09 17:33:09, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 21, Flipped 963366915, [+] System running normally
2025-10-09 17:33:11, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 22, Flipped 957075459, [+] System running normally
2025-10-09 17:33:13, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 23, Flipped 969658371, [+] System running normally
2025-10-09 17:33:15, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 24, Flipped 944492547, [+] System running normally
2025-10-09 17:33:17, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 25, Flipped 994824195, [+] System running normally
2025-10-09 17:33:19, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 26, Flipped 1028378627, [+] System running normally
2025-10-09 17:33:21, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 27, Flipped 827052035, [+] System running normally
2025-10-09 17:33:23, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 28, Flipped 692834307, [+] System running normally
2025-10-09 17:33:25, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 29, Flipped 424398851, [+] System running normally
2025-10-09 17:33:27, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 30, Flipped 2035011587, [+] System running normally
2025-10-09 17:33:29, Instruction: 0xffff800010b9aa10, Mem: 961269763, Flipped bit 31, Flipped 3108753411, [+] System running normally
2025-10-09 17:33:31, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 0, Flipped 2550102048, [+] System running normally
2025-10-09 17:33:33, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 1, Flipped 2550102051, [+] System running normally
2025-10-09 17:33:35, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 2, Flipped 2550102053, [+] System running normally
2025-10-09 17:33:37, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 3, Flipped 2550102057, [+] System running normally
2025-10-09 17:33:39, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 4, Flipped 2550102065, [+] System running normally
2025-10-09 17:33:41, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 5, Flipped 2550102017, [+] System running normally
2025-10-09 17:33:43, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 6, Flipped 2550102113, [+] System running normally
2025-10-09 17:33:45, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 7, Flipped 2550102177, [+] System running normally
2025-10-09 17:33:47, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 8, Flipped 2550102305, [+] System running normally
2025-10-09 17:33:49, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 9, Flipped 2550102561, [+] System running normally
2025-10-09 17:33:51, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 10, Flipped 2550103073, [+] System running normally
2025-10-09 17:33:53, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 11, Flipped 2550100001, [+] System running normally
2025-10-09 17:33:55, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 12, Flipped 2550097953, [+] System running normally
2025-10-09 17:33:57, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 13, Flipped 2550093857, [+] System running normally
2025-10-09 17:33:59, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 14, Flipped 2550085665, [+] System running normally
2025-10-09 17:34:01, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 15, Flipped 2550134817, [+] System running normally
2025-10-09 17:34:03, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 16, Flipped 2550036513, [+] System running normally
2025-10-09 17:34:05, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 17, Flipped 2549970977, [+] System running normally
2025-10-09 17:34:07, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 18, Flipped 2549839905, [+] System running normally
2025-10-09 17:34:09, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 19, Flipped 2549577761, [+] System running normally
2025-10-09 17:34:11, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 20, Flipped 2549053473, [+] System running normally
2025-10-09 17:34:15, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 21, Flipped 2548004897, [+] System running normally
2025-10-09 17:34:17, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 22, Flipped 2545907745, [+] System running normally
2025-10-09 17:34:19, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 23, Flipped 2541713441, [+] System running normally
2025-10-09 17:34:21, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 24, Flipped 2533324833, [+] System running normally
2025-10-09 17:34:25, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 25, Flipped 2516547617, [+] System running normally
2025-10-09 17:34:27, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 26, Flipped 2482993185, [+] System running normally
2025-10-09 17:34:29, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 27, Flipped 2684319777, [+] System running normally
2025-10-09 17:34:31, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 28, Flipped 2281666593, [+] System running normally
2025-10-09 17:34:35, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 29, Flipped 3086972961, [+] System running normally
2025-10-09 17:34:37, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 30, Flipped 3623843873, [+] System running normally
2025-10-09 17:34:39, Instruction: 0xffff800010b9aa14, Mem: 2550102049, Flipped bit 31, Flipped 402618401, [+] System running normally
2025-10-09 17:34:41, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 0, Flipped 2831252476, [+] System running normally
2025-10-09 17:34:44, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 1, Flipped 2831252479, [+] System running normally
2025-10-09 17:34:46, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 2, Flipped 2831252473, [+] System running normally
2025-10-09 17:34:48, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 3, Flipped 2831252469, [+] System running normally
2025-10-09 17:34:50, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 4, Flipped 2831252461, [+] System running normally
2025-10-09 17:34:52, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 5, Flipped 2831252445, [+] System running normally
2025-10-09 17:34:54, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 6, Flipped 2831252413, [+] System running normally
2025-10-09 17:34:58, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 7, Flipped 2831252349, [+] System running normally
2025-10-09 17:35:02, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 8, Flipped 2831252221, [+] System running normally
2025-10-09 17:35:04, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 9, Flipped 2831251965, [+] System running normally
2025-10-09 17:35:06, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 10, Flipped 2831253501, [+] System running normally
2025-10-09 17:35:08, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 11, Flipped 2831250429, [+] System running normally
2025-10-09 17:35:10, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 12, Flipped 2831248381, [+] System running normally
2025-10-09 17:35:12, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 13, Flipped 2831244285, [+] System running normally
2025-10-09 17:35:14, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 14, Flipped 2831236093, [+] System running normally
2025-10-09 17:35:16, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 15, Flipped 2831285245, [+] System running normally
2025-10-09 17:35:18, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 16, Flipped 2831186941, [+] System running normally
2025-10-09 17:35:20, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 17, Flipped 2831383549, [+] System running normally
2025-10-09 17:35:22, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 18, Flipped 2831514621, [+] System running normally
2025-10-09 17:35:24, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 19, Flipped 2831776765, [+] System running normally
2025-10-09 17:35:28, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 20, Flipped 2832301053, [+] System running normally
2025-10-09 17:35:30, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 21, Flipped 2833349629, [+] System running normally
2025-10-09 17:35:32, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 22, Flipped 2827058173, [+] System running normally
2025-10-09 17:35:34, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 23, Flipped 2822863869, [+] System running normally
2025-10-09 17:35:36, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 24, Flipped 2848029693, [+] System running normally
2025-10-09 17:35:38, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 25, Flipped 2864806909, [+] System running normally
2025-10-09 17:35:42, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 26, Flipped 2898361341, [+] System running normally
2025-10-09 17:35:44, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 27, Flipped 2697034749, [+] System running normally
2025-10-09 17:35:46, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 28, Flipped 3099687933, [+] System running normally
2025-10-09 17:35:48, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 29, Flipped 2294381565, [+] System running normally
2025-10-09 17:35:52, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 30, Flipped 3904994301, [+] System running normally
2025-10-09 17:35:56, Instruction: 0xffff800010b9aa18, Mem: 2831252477, Flipped bit 31, Flipped 683768829, [+] System running normally
2025-10-09 17:36:00, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 0, Flipped 3596551105, [+] System running normally
2025-10-09 17:36:02, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 1, Flipped 3596551106, [+] System running normally
2025-10-09 17:36:06, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 2, Flipped 3596551108, [+] System running normally
2025-10-09 17:36:08, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 3, Flipped 3596551112, [+] System running normally
2025-10-09 17:36:10, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 4, Flipped 3596551120, [+] System running normally
2025-10-09 17:36:12, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 5, Flipped 3596551136, [+] System running normally
2025-10-09 17:36:14, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 6, Flipped 3596551040, [+] System running normally
2025-10-09 17:36:16, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 7, Flipped 3596550976, [+] System running normally
2025-10-09 17:36:18, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 8, Flipped 3596550848, [+] System running normally
2025-10-09 17:36:20, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 9, Flipped 3596550592, [+] System running normally
2025-10-09 17:36:22, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 10, Flipped 3596552128, [+] System running normally
2025-10-09 17:36:24, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 11, Flipped 3596553152, [+] System running normally
2025-10-09 17:36:26, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 12, Flipped 3596555200, [+] System running normally
2025-10-09 17:36:28, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 13, Flipped 3596559296, [+] System running normally
2025-10-09 17:36:32, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 14, Flipped 3596567488, [+] System running normally
2025-10-09 17:36:34, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 15, Flipped 3596583872, [+] System running normally
2025-10-09 17:36:36, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 16, Flipped 3596485568, [+] System running normally
2025-10-09 17:36:38, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 17, Flipped 3596420032, [+] System running normally
2025-10-09 17:36:40, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 18, Flipped 3596288960, [+] System running normally
2025-10-09 17:36:42, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 19, Flipped 3596026816, [+] System running normally
2025-10-09 17:36:44, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 20, Flipped 3595502528, [+] System running normally
2025-10-09 17:36:46, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 21, Flipped 3598648256, [+] System running normally
2025-10-09 17:36:48, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 22, Flipped 3592356800, [+] System running normally
2025-10-09 17:36:52, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 23, Flipped 3604939712, [+] System running normally
2025-10-09 17:36:54, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 24, Flipped 3613328320, [+] System running normally
2025-10-09 17:36:56, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 25, Flipped 3562996672, [+] System running normally
2025-10-09 17:36:58, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 26, Flipped 3529442240, [+] System running normally
2025-10-09 17:37:02, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 27, Flipped 3730768832, [+] System running normally
2025-10-09 17:37:04, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 28, Flipped 3328115648, [+] System running normally
2025-10-09 17:37:06, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 29, Flipped 4133422016, [+] System running normally
2025-10-09 17:37:08, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 30, Flipped 2522809280, [+] System running normally
2025-10-09 17:37:12, Instruction: 0xffff800010b9aa1c, Mem: 3596551104, Flipped bit 31, Flipped 1449067456, [+] System running normally
