2025-10-31 14:50:40, Instruction: 0xffff800010b2f3a0, Mem: 2847046653, Flipped bit 0, Flipped 2847046652, [+] System running normally
2025-10-31 14:51:59, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 2, Flipped 2432697337, [+] System running normally
2025-10-31 14:55:22, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 3, Flipped 2432697333, [+] System running normally
2025-10-31 14:55:24, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 4, Flipped 2432697325, [+] System running normally
2025-10-31 14:55:26, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 5, Flipped 2432697309, [+] System running normally
2025-10-31 14:55:28, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 6, Flipped 2432697277, [+] System running normally
2025-10-31 14:55:30, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 7, Flipped 2432697213, [+] System running normally
2025-10-31 14:55:32, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 8, Flipped 2432697085, [+] System running normally
2025-10-31 14:55:34, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 9, Flipped 2432696829, [+] System running normally
2025-10-31 14:55:36, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 10, Flipped 2432698365, [+] System running normally
2025-10-31 14:55:38, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 11, Flipped 2432699389, [+] System running normally
2025-10-31 14:55:40, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 12, Flipped 2432701437, [+] System running normally
2025-10-31 14:55:42, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 13, Flipped 2432705533, [+] System running normally
2025-10-31 14:55:44, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 14, Flipped 2432713725, [+] System running normally
2025-10-31 14:55:46, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 15, Flipped 2432730109, [+] System running normally
2025-10-31 14:55:48, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 16, Flipped 2432762877, [+] System running normally
2025-10-31 14:55:50, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 17, Flipped 2432828413, [+] System running normally
2025-10-31 14:55:52, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 18, Flipped 2432959485, [+] System running normally
2025-10-31 14:55:54, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 19, Flipped 2433221629, [+] System running normally
2025-10-31 14:55:56, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 20, Flipped 2433745917, [+] System running normally
2025-10-31 14:55:58, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 21, Flipped 2434794493, [+] System running normally
2025-10-31 14:56:00, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 22, Flipped 2436891645, [+] System running normally
2025-10-31 14:56:02, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 23, Flipped 2441085949, [+] System running normally
2025-10-31 14:56:04, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 24, Flipped 2415920125, [+] System running normally
2025-10-31 14:56:06, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 25, Flipped 2466251773, [+] System running normally
2025-10-31 14:56:08, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 26, Flipped 2499806205, [+] System running normally
2025-10-31 14:56:10, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 27, Flipped 2566915069, [+] System running normally
2025-10-31 14:56:12, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 28, Flipped 2164261885, [+] System running normally
2025-10-31 14:56:14, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 29, Flipped 2969568253, [+] System running normally
2025-10-31 14:56:16, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 30, Flipped 3506439165, [+] System running normally
2025-10-31 14:56:18, Instruction: 0xffff800010b2f3a4, Mem: 2432697341, Flipped bit 31, Flipped 285213693, [+] System running normally
2025-10-31 14:56:20, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 0, Flipped 2835436530, [+] System running normally
2025-10-31 14:56:24, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 1, Flipped 2835436529, [+] System running normally
2025-10-31 14:56:28, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 2, Flipped 2835436535, [+] System running normally
2025-10-31 14:56:30, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 3, Flipped 2835436539, [+] System running normally
2025-10-31 14:56:32, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 4, Flipped 2835436515, [+] System running normally
2025-10-31 14:56:36, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 5, Flipped 2835436499, [+] System running normally
2025-10-31 14:56:38, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 6, Flipped 2835436467, [+] System running normally
2025-10-31 14:56:42, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 7, Flipped 2835436403, [+] System running normally
2025-10-31 14:56:44, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 8, Flipped 2835436275, [+] System running normally
2025-10-31 14:56:46, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 9, Flipped 2835436019, [+] System running normally
2025-10-31 14:56:48, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 10, Flipped 2835437555, [+] System running normally
2025-10-31 14:56:50, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 11, Flipped 2835438579, [+] System running normally
2025-10-31 14:56:52, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 12, Flipped 2835432435, [+] System running normally
2025-10-31 14:56:54, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 13, Flipped 2835444723, [+] System running normally
2025-10-31 14:56:56, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 14, Flipped 2835420147, [+] System running normally
2025-10-31 14:56:58, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 15, Flipped 2835469299, [+] System running normally
2025-10-31 14:57:00, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 16, Flipped 2835370995, [+] System running normally
2025-10-31 14:57:02, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 17, Flipped 2835567603, [+] System running normally
2025-10-31 14:57:04, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 18, Flipped 2835698675, [+] System running normally
2025-10-31 14:57:06, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 19, Flipped 2835960819, [+] System running normally
2025-10-31 14:57:08, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 20, Flipped 2836485107, [+] System running normally
2025-10-31 14:57:10, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 21, Flipped 2837533683, [+] System running normally
2025-10-31 14:57:12, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 22, Flipped 2839630835, [+] System running normally
2025-10-31 14:57:14, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 23, Flipped 2843825139, [+] System running normally
2025-10-31 14:57:16, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 24, Flipped 2818659315, [+] System running normally
2025-10-31 14:57:18, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 25, Flipped 2868990963, [+] System running normally
2025-10-31 14:57:22, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 26, Flipped 2902545395, [+] System running normally
2025-10-31 14:57:24, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 27, Flipped 2701218803, [+] System running normally
2025-10-31 14:57:28, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 28, Flipped 3103871987, [+] System running normally
2025-10-31 14:57:32, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 29, Flipped 2298565619, [+] System running normally
2025-10-31 14:57:37, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 30, Flipped 3909178355, [+] System running normally
2025-10-31 14:57:39, Instruction: 0xffff800010b2f3a8, Mem: 2835436531, Flipped bit 31, Flipped 687952883, [+] System running normally
2025-10-31 14:57:41, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 0, Flipped 2852193266, [+] System running normally
2025-10-31 14:57:43, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 1, Flipped 2852193265, [+] System running normally
2025-10-31 14:57:45, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 2, Flipped 2852193271, [+] System running normally
2025-10-31 14:57:47, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 3, Flipped 2852193275, [+] System running normally
2025-10-31 14:57:49, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 4, Flipped 2852193251, [+] System running normally
2025-10-31 14:57:51, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 5, Flipped 2852193235, [+] System running normally
2025-10-31 14:57:53, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 6, Flipped 2852193203, [+] System running normally
2025-10-31 14:57:55, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 7, Flipped 2852193139, [+] System running normally
2025-10-31 14:57:57, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 8, Flipped 2852193011, [+] System running normally
2025-10-31 14:57:59, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 9, Flipped 2852192755, [+] System running normally
2025-10-31 14:58:01, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 10, Flipped 2852194291, [+] System running normally
2025-10-31 14:58:03, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 11, Flipped 2852195315, [+] System running normally
2025-10-31 14:58:05, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 12, Flipped 2852197363, [+] System running normally
2025-10-31 14:58:07, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 13, Flipped 2852201459, [+] System running normally
2025-10-31 14:58:09, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 14, Flipped 2852209651, [+] System running normally
2025-10-31 14:58:11, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 15, Flipped 2852226035, [+] System running normally
2025-10-31 14:58:13, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 16, Flipped 2852127731, [+] System running normally
2025-10-31 14:58:15, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 17, Flipped 2852324339, [+] System running normally
2025-10-31 14:58:17, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 18, Flipped 2852455411, [+] System running normally
2025-10-31 14:58:19, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 19, Flipped 2852717555, [+] System running normally
2025-10-31 14:58:21, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 20, Flipped 2853241843, [+] System running normally
2025-10-31 14:58:23, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 21, Flipped 2854290419, [+] System running normally
2025-10-31 14:58:25, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 22, Flipped 2856387571, [+] System running normally
2025-10-31 14:58:29, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 23, Flipped 2860581875, [+] System running normally
2025-10-31 14:58:31, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 24, Flipped 2868970483, [+] System running normally
2025-10-31 14:58:33, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 25, Flipped 2818638835, [+] System running normally
2025-10-31 14:58:35, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 26, Flipped 2919302131, [+] System running normally
2025-10-31 14:58:37, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 27, Flipped 2717975539, [+] System running normally
2025-10-31 14:58:39, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 28, Flipped 3120628723, [+] System running normally
2025-10-31 14:58:41, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 29, Flipped 2315322355, [+] System running normally
2025-10-31 14:58:43, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 30, Flipped 3925935091, [+] System running normally
2025-10-31 14:58:45, Instruction: 0xffff800010b2f3ac, Mem: 2852193267, Flipped bit 31, Flipped 704709619, [+] System running normally
2025-10-31 14:58:47, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 0, Flipped 2835504116, [+] System running normally
2025-10-31 14:58:49, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 1, Flipped 2835504119, [+] System running normally
2025-10-31 14:58:51, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 2, Flipped 2835504113, [+] System running normally
2025-10-31 14:58:53, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 3, Flipped 2835504125, [+] System running normally
2025-10-31 14:58:55, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 4, Flipped 2835504101, [+] System running normally
2025-10-31 14:58:57, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 5, Flipped 2835504085, [+] System running normally
2025-10-31 14:58:59, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 6, Flipped 2835504053, [+] System running normally
2025-10-31 14:59:01, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 7, Flipped 2835503989, [+] System running normally
2025-10-31 14:59:05, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 8, Flipped 2835503861, [+] System running normally
2025-10-31 14:59:07, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 9, Flipped 2835503605, [+] System running normally
2025-10-31 14:59:09, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 10, Flipped 2835505141, [+] System running normally
2025-10-31 14:59:11, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 11, Flipped 2835502069, [+] System running normally
2025-10-31 14:59:13, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 12, Flipped 2835500021, [+] System running normally
2025-10-31 14:59:15, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 13, Flipped 2835512309, [+] System running normally
2025-10-31 14:59:17, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 14, Flipped 2835487733, [+] System running normally
2025-10-31 14:59:19, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 15, Flipped 2835536885, [+] System running normally
2025-10-31 14:59:21, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 16, Flipped 2835569653, [+] System running normally
2025-10-31 14:59:25, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 17, Flipped 2835373045, [+] System running normally
2025-10-31 14:59:27, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 18, Flipped 2835766261, [+] System running normally
2025-10-31 14:59:29, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 19, Flipped 2836028405, [+] System running normally
2025-10-31 14:59:31, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 20, Flipped 2836552693, [+] System running normally
2025-10-31 14:59:33, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 21, Flipped 2837601269, [+] System running normally
2025-10-31 14:59:37, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 22, Flipped 2839698421, [+] System running normally
2025-10-31 14:59:39, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 23, Flipped 2843892725, [+] System running normally
2025-10-31 14:59:43, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 24, Flipped 2818726901, [+] System running normally
2025-10-31 14:59:46, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 25, Flipped 2869058549, [+] System running normally
2025-10-31 14:59:50, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 26, Flipped 2902612981, [+] System running normally
2025-10-31 14:59:54, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 27, Flipped 2701286389, [+] System running normally
2025-10-31 14:59:56, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 28, Flipped 3103939573, [+] System running normally
2025-10-31 14:59:58, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 29, Flipped 2298633205, [+] System running normally
2025-10-31 15:00:00, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 30, Flipped 3909245941, [+] System running normally
2025-10-31 15:00:02, Instruction: 0xffff800010b2f3b0, Mem: 2835504117, Flipped bit 31, Flipped 688020469, [+] System running normally
2025-10-31 15:00:04, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 0, Flipped 3577233684, [+] System running normally
2025-10-31 15:00:06, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 1, Flipped 3577233687, [+] System running normally
2025-10-31 15:00:08, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 2, Flipped 3577233681, [+] System running normally
2025-10-31 15:00:10, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 3, Flipped 3577233693, [+] System running normally
2025-10-31 15:00:12, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 4, Flipped 3577233669, [+] System running normally
2025-10-31 15:00:14, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 5, Flipped 3577233717, [+] System running normally
2025-10-31 15:00:16, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 6, Flipped 3577233749, [+] System running normally
2025-10-31 15:00:18, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 7, Flipped 3577233813, [+] System running normally
2025-10-31 15:00:20, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 8, Flipped 3577233429, [+] System running normally
2025-10-31 15:00:22, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 9, Flipped 3577234197, [+] System running normally
2025-10-31 15:00:24, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 10, Flipped 3577234709, [+] System running normally
2025-10-31 15:00:26, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 11, Flipped 3577235733, [+] System running normally
2025-10-31 15:00:28, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 12, Flipped 3577237781, [+] System running normally
2025-10-31 15:00:30, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 13, Flipped 3577241877, [+] System running normally
2025-10-31 15:00:32, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 14, Flipped 3577217301, [+] System running normally
2025-10-31 15:00:34, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 15, Flipped 3577266453, [+] System running normally
2025-10-31 15:00:36, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 16, Flipped 3577299221, [+] System running normally
2025-10-31 15:00:38, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 17, Flipped 3577364757, [+] System running normally
2025-10-31 15:00:40, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 18, Flipped 3577495829, [+] System running normally
2025-10-31 15:00:42, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 19, Flipped 3576709397, [+] System running normally
2025-10-31 15:00:44, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 20, Flipped 3576185109, [+] System running normally
2025-10-31 15:00:48, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 21, Flipped 3575136533, [+] System running normally
2025-10-31 15:00:50, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 22, Flipped 3581427989, [+] System running normally
2025-10-31 15:00:52, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 23, Flipped 3585622293, [+] System running normally
2025-10-31 15:00:56, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 24, Flipped 3560456469, [+] System running normally
2025-10-31 15:00:58, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 25, Flipped 3610788117, [+] System running normally
2025-10-31 15:01:00, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 26, Flipped 3510124821, [+] System running normally
2025-10-31 15:01:02, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 27, Flipped 3711451413, [+] System running normally
2025-10-31 15:01:04, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 28, Flipped 3308798229, [+] System running normally
2025-10-31 15:01:08, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 29, Flipped 4114104597, [+] System running normally
2025-10-31 15:01:10, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 30, Flipped 2503491861, [+] System running normally
2025-10-31 15:01:12, Instruction: 0xffff800010b2f3b4, Mem: 3577233685, Flipped bit 31, Flipped 1429750037, [+] System running normally
2025-10-31 15:01:14, Instruction: 0xffff800010b2f3b8, Mem: 2852258806, Flipped bit 0, Flipped 2852258807, [+] System running normally
2025-10-31 15:01:16, Instruction: 0xffff800010b2f3b8, Mem: 2852258806, Flipped bit 1, Flipped 2852258804, [+] System running normally
2025-10-31 15:01:18, Instruction: 0xffff800010b2f3b8, Mem: 2852258806, Flipped bit 2, Flipped 2852258802, [+] System running normally
2025-10-31 15:01:20, Instruction: 0xffff800010b2f3b8, Mem: 2852258806, Flipped bit 3, Flipped 2852258814, [+] System running normally
2025-10-31 15:01:22, Instruction: 0xffff800010b2f3b8, Mem: 2852258806, Flipped bit 4, Flipped 2852258790, [+] System running normally
2025-10-31 15:01:24, Instruction: 0xffff800010b2f3b8, Mem: 2852258806, Flipped bit 5, Flipped 2852258774, [+] System running normally
2025-10-31 15:01:26, Instruction: 0xffff800010b2f3b8, Mem: 2852258806, Flipped bit 6, Flipped 2852258742, [+] System running normally
2025-10-31 15:01:30, Instruction: 0xffff800010b2f3b8, Mem: 2852258806, Flipped bit 7, Flipped 2852258678, [+] System running normally
2025-10-31 15:01:32, Instruction: 0xffff800010b2f3b8, Mem: 2852258806, Flipped bit 8, Flipped 2852258550, [+] System running normally
