2025-10-28 21:49:22, Instruction: 0xffff800010ba8090, Mem: 2847898621, Flipped bit 0, Flipped 2847898620, [+] System running normally
2025-10-28 21:51:28, Instruction: 0xffff800010ba8094, Mem: 2432892962, Flipped bit 25, Flipped 2466447394, [+] System running normally
2025-10-28 21:51:30, Instruction: 0xffff800010ba8094, Mem: 2432892962, Flipped bit 26, Flipped 2500001826, [+] System running normally
2025-10-28 21:51:32, Instruction: 0xffff800010ba8094, Mem: 2432892962, Flipped bit 27, Flipped 2567110690, [+] System running normally
2025-10-28 21:51:34, Instruction: 0xffff800010ba8094, Mem: 2432892962, Flipped bit 28, Flipped 2164457506, [+] System running normally
2025-10-28 21:51:38, Instruction: 0xffff800010ba8094, Mem: 2432892962, Flipped bit 29, Flipped 2969763874, [+] System running normally
2025-10-28 21:51:40, Instruction: 0xffff800010ba8094, Mem: 2432892962, Flipped bit 30, Flipped 3506634786, [+] System running normally
2025-10-28 21:51:44, Instruction: 0xffff800010ba8094, Mem: 2432892962, Flipped bit 31, Flipped 285409314, [+] System running normally
2025-10-28 21:58:31, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 0, Flipped 2432697340, [+] System running normally
2025-10-28 21:58:33, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 1, Flipped 2432697343, [+] System running normally
2025-10-28 21:58:35, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 2, Flipped 2432697337, [+] System running normally
2025-10-28 21:58:38, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 3, Flipped 2432697333, [+] System running normally
2025-10-28 21:58:42, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 4, Flipped 2432697325, [+] System running normally
2025-10-28 21:58:44, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 5, Flipped 2432697309, [+] System running normally
2025-10-28 21:58:46, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 6, Flipped 2432697277, [+] System running normally
2025-10-28 21:58:48, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 7, Flipped 2432697213, [+] System running normally
2025-10-28 21:58:52, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 8, Flipped 2432697085, [+] System running normally
2025-10-28 21:58:56, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 9, Flipped 2432696829, [+] System running normally
2025-10-28 21:59:00, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 10, Flipped 2432698365, [+] System running normally
2025-10-28 21:59:02, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 11, Flipped 2432699389, [+] System running normally
2025-10-28 21:59:04, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 12, Flipped 2432701437, [+] System running normally
2025-10-28 21:59:06, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 13, Flipped 2432705533, [+] System running normally
2025-10-28 21:59:08, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 14, Flipped 2432713725, [+] System running normally
2025-10-28 21:59:10, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 15, Flipped 2432730109, [+] System running normally
2025-10-28 21:59:14, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 16, Flipped 2432762877, [+] System running normally
2025-10-28 21:59:16, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 17, Flipped 2432828413, [+] System running normally
2025-10-28 21:59:18, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 18, Flipped 2432959485, [+] System running normally
2025-10-28 21:59:20, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 19, Flipped 2433221629, [+] System running normally
2025-10-28 21:59:22, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 20, Flipped 2433745917, [+] System running normally
2025-10-28 21:59:24, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 21, Flipped 2434794493, [+] System running normally
2025-10-28 21:59:28, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 22, Flipped 2436891645, [+] System running normally
2025-10-28 21:59:30, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 23, Flipped 2441085949, [+] System running normally
2025-10-28 21:59:32, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 24, Flipped 2415920125, [+] System running normally
2025-10-28 21:59:36, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 25, Flipped 2466251773, [+] System running normally
2025-10-28 21:59:38, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 26, Flipped 2499806205, [+] System running normally
2025-10-28 21:59:43, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 27, Flipped 2566915069, [+] System running normally
2025-10-28 21:59:45, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 28, Flipped 2164261885, [+] System running normally
2025-10-28 21:59:47, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 29, Flipped 2969568253, [+] System running normally
2025-10-28 21:59:49, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 30, Flipped 3506439165, [+] System running normally
2025-10-28 21:59:51, Instruction: 0xffff800010ba8098, Mem: 2432697341, Flipped bit 31, Flipped 285213693, [+] System running normally
2025-10-28 21:59:55, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 0, Flipped 4185915457, [+] System running normally
2025-10-28 21:59:59, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 1, Flipped 4185915458, [+] System running normally
2025-10-28 22:00:01, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 2, Flipped 4185915460, [+] System running normally
2025-10-28 22:00:03, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 3, Flipped 4185915464, [+] System running normally
2025-10-28 22:00:05, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 4, Flipped 4185915472, [+] System running normally
2025-10-28 22:00:07, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 5, Flipped 4185915488, [+] System running normally
2025-10-28 22:00:09, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 6, Flipped 4185915392, [+] System running normally
2025-10-28 22:00:11, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 7, Flipped 4185915584, [+] System running normally
2025-10-28 22:00:15, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 8, Flipped 4185915712, [+] System running normally
2025-10-28 22:00:17, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 9, Flipped 4185915968, [+] System running normally
2025-10-28 22:00:20, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 10, Flipped 4185916480, [+] System running normally
2025-10-28 22:00:22, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 11, Flipped 4185917504, [+] System running normally
2025-10-28 22:00:24, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 12, Flipped 4185919552, [+] System running normally
2025-10-28 22:00:26, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 13, Flipped 4185923648, [+] System running normally
2025-10-28 22:00:28, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 14, Flipped 4185931840, [+] System running normally
2025-10-28 22:00:30, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 15, Flipped 4185948224, [+] System running normally
2025-10-28 22:00:32, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 16, Flipped 4185980992, [+] System running normally
2025-10-28 22:00:34, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 17, Flipped 4186046528, [+] System running normally
2025-10-28 22:00:36, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 18, Flipped 4186177600, [+] System running normally
2025-10-28 22:00:38, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 19, Flipped 4186439744, [+] System running normally
2025-10-28 22:00:40, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 20, Flipped 4186964032, [+] System running normally
2025-10-28 22:00:42, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 21, Flipped 4188012608, [+] System running normally
2025-10-28 22:00:44, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 22, Flipped 4190109760, [+] System running normally
2025-10-28 22:00:46, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 23, Flipped 4177526848, [+] System running normally
2025-10-28 22:00:50, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 24, Flipped 4169138240, [+] System running normally
2025-10-28 22:00:52, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 25, Flipped 4219469888, [+] System running normally
2025-10-28 22:00:54, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 26, Flipped 4253024320, [+] System running normally
2025-10-28 22:00:56, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 27, Flipped 4051697728, [+] System running normally
2025-10-28 22:00:58, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 28, Flipped 3917480000, [+] System running normally
2025-10-28 22:01:00, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 29, Flipped 3649044544, [+] System running normally
2025-10-28 22:01:02, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 30, Flipped 3112173632, [+] System running normally
2025-10-28 22:01:04, Instruction: 0xffff800010ba809c, Mem: 4185915456, Flipped bit 31, Flipped 2038431808, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000004', 'raw_match': '[  272.914933]   ESR = 0x96000004'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-10-28 22:04:26, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 0, Flipped 3107983392, [+] System running normally
2025-10-28 22:04:28, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 1, Flipped 3107983395, [+] System running normally
2025-10-28 22:04:30, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 2, Flipped 3107983397, [+] System running normally
2025-10-28 22:04:32, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 3, Flipped 3107983401, [+] System running normally
2025-10-28 22:04:36, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 4, Flipped 3107983409, [+] System running normally
2025-10-28 22:04:38, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 5, Flipped 3107983361, [+] System running normally
2025-10-28 22:04:40, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 6, Flipped 3107983457, [+] System running normally
2025-10-28 22:04:42, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 7, Flipped 3107983521, [+] System running normally
2025-10-28 22:04:44, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 8, Flipped 3107983649, [+] System running normally
2025-10-28 22:04:46, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 9, Flipped 3107983905, [+] System running normally
2025-10-28 22:04:48, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 10, Flipped 3107984417, [+] System running normally
2025-10-28 22:04:50, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 11, Flipped 3107985441, [+] System running normally
2025-10-28 22:04:52, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 12, Flipped 3107979297, [+] System running normally
2025-10-28 22:04:54, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 13, Flipped 3107991585, [+] System running normally
2025-10-28 22:04:56, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 14, Flipped 3107999777, [+] System running normally
2025-10-28 22:04:58, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 15, Flipped 3108016161, [+] System running normally
2025-10-28 22:05:00, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 16, Flipped 3108048929, [+] System running normally
2025-10-28 22:05:02, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 17, Flipped 3108114465, [+] System running normally
2025-10-28 22:05:06, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 18, Flipped 3108245537, [+] System running normally
2025-10-28 22:05:08, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 19, Flipped 3108507681, [+] System running normally
2025-10-28 22:05:10, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 20, Flipped 3109031969, [+] System running normally
2025-10-28 22:05:12, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 21, Flipped 3110080545, [+] System running normally
2025-10-28 22:05:16, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 22, Flipped 3103789089, [+] System running normally
2025-10-28 22:05:18, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 23, Flipped 3116372001, [+] System running normally
2025-10-28 22:05:20, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 24, Flipped 3091206177, [+] System running normally
2025-10-28 22:05:22, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 25, Flipped 3141537825, [+] System running normally
2025-10-28 22:05:24, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 26, Flipped 3175092257, [+] System running normally
2025-10-28 22:05:26, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 27, Flipped 2973765665, [+] System running normally
2025-10-28 22:05:28, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 28, Flipped 2839547937, [+] System running normally
2025-10-28 22:05:30, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 29, Flipped 2571112481, [+] System running normally
2025-10-28 22:05:32, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 30, Flipped 4181725217, [+] System running normally
2025-10-28 22:05:34, Instruction: 0xffff800010ba80a0, Mem: 3107983393, Flipped bit 31, Flipped 960499745, [+] System running normally
2025-10-28 22:05:36, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 0, Flipped 1384120322, [+] System running normally
2025-10-28 22:05:38, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 1, Flipped 1384120321, [+] System running normally
2025-10-28 22:05:40, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 2, Flipped 1384120327, [+] System running normally
2025-10-28 22:05:42, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 3, Flipped 1384120331, [+] System running normally
2025-10-28 22:05:44, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 4, Flipped 1384120339, [+] System running normally
2025-10-28 22:05:47, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 5, Flipped 1384120355, [+] System running normally
2025-10-28 22:05:49, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 6, Flipped 1384120387, [+] System running normally
2025-10-28 22:05:51, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 7, Flipped 1384120451, [+] System running normally
2025-10-28 22:05:53, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 8, Flipped 1384120579, [+] System running normally
2025-10-28 22:05:55, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 9, Flipped 1384120835, [+] System running normally
2025-10-28 22:05:57, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 10, Flipped 1384121347, [+] System running normally
2025-10-28 22:05:59, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 11, Flipped 1384122371, [+] System running normally
2025-10-28 22:06:01, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 12, Flipped 1384124419, [+] System running normally
2025-10-28 22:06:03, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 13, Flipped 1384128515, [+] System running normally
2025-10-28 22:06:05, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 14, Flipped 1384136707, [+] System running normally
2025-10-28 22:06:07, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 15, Flipped 1384153091, [+] System running normally
2025-10-28 22:06:09, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 16, Flipped 1384185859, [+] System running normally
2025-10-28 22:06:11, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 17, Flipped 1384251395, [+] System running normally
2025-10-28 22:06:15, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 18, Flipped 1384382467, [+] System running normally
2025-10-28 22:06:19, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 19, Flipped 1384644611, [+] System running normally
2025-10-28 22:06:21, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 20, Flipped 1385168899, [+] System running normally
2025-10-28 22:06:23, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 21, Flipped 1386217475, [+] System running normally
2025-10-28 22:06:25, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 22, Flipped 1388314627, [+] System running normally
2025-10-28 22:06:27, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 23, Flipped 1375731715, [+] System running normally
2025-10-28 22:06:29, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 24, Flipped 1400897539, [+] System running normally
2025-10-28 22:06:31, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 25, Flipped 1350565891, [+] System running normally
2025-10-28 22:06:33, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 26, Flipped 1451229187, [+] System running normally
2025-10-28 22:06:35, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 27, Flipped 1518338051, [+] System running normally
2025-10-28 22:06:37, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 28, Flipped 1115684867, [+] System running normally
2025-10-28 22:06:39, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 29, Flipped 1920991235, [+] System running normally
2025-10-28 22:06:41, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 30, Flipped 310378499, [+] System running normally
2025-10-28 22:06:43, Instruction: 0xffff800010ba80a4, Mem: 1384120323, Flipped bit 31, Flipped 3531603971, [+] System running normally
2025-10-28 22:06:45, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 0, Flipped 1384120355, [+] System running normally
2025-10-28 22:06:49, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 1, Flipped 1384120352, [+] System running normally
2025-10-28 22:06:51, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 2, Flipped 1384120358, [+] System running normally
2025-10-28 22:06:55, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 3, Flipped 1384120362, [+] System running normally
2025-10-28 22:06:57, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 4, Flipped 1384120370, [+] System running normally
2025-10-28 22:06:59, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 5, Flipped 1384120322, [+] System running normally
2025-10-28 22:07:01, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 6, Flipped 1384120418, [+] System running normally
2025-10-28 22:07:03, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 7, Flipped 1384120482, [+] System running normally
2025-10-28 22:07:05, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 8, Flipped 1384120610, [+] System running normally
2025-10-28 22:07:07, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 9, Flipped 1384120866, [+] System running normally
2025-10-28 22:07:09, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 10, Flipped 1384121378, [+] System running normally
2025-10-28 22:07:11, Instruction: 0xffff800010ba80a8, Mem: 1384120354, Flipped bit 11, Flipped 1384122402, [+] System running normally
