2025-10-09 20:03:36, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 0, Flipped 4181729314, [+] System running normally
2025-10-09 20:04:21, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 20, Flipped 4182777891, [+] System running normally
2025-10-09 20:04:25, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 21, Flipped 4183826467, [+] System running normally
2025-10-09 20:04:27, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 22, Flipped 4177535011, [+] System running normally
2025-10-09 20:04:29, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 23, Flipped 4190117923, [+] System running normally
2025-10-09 20:04:33, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 24, Flipped 4164952099, [+] System running normally
2025-10-09 20:04:35, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 25, Flipped 4215283747, [+] System running normally
2025-10-09 20:04:37, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 26, Flipped 4248838179, [+] System running normally
2025-10-09 20:04:39, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 27, Flipped 4047511587, [+] System running normally
2025-10-09 20:04:41, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 28, Flipped 3913293859, [+] System running normally
2025-10-09 20:04:43, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 29, Flipped 3644858403, [+] System running normally
2025-10-09 20:04:45, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 30, Flipped 3107987491, [+] System running normally
2025-10-09 20:04:47, Instruction: 0xffff800010ba62e8, Mem: 4181729315, Flipped bit 31, Flipped 2034245667, [+] System running normally
2025-10-09 20:04:51, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 0, Flipped 1384120321, [+] System running normally
2025-10-09 20:04:55, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 1, Flipped 1384120322, [+] System running normally
2025-10-09 20:08:17, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 2, Flipped 1384120324, [+] System running normally
2025-10-09 20:08:19, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 3, Flipped 1384120328, [+] System running normally
2025-10-09 20:08:21, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 4, Flipped 1384120336, [+] System running normally
2025-10-09 20:08:23, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 5, Flipped 1384120352, [+] System running normally
2025-10-09 20:08:25, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 6, Flipped 1384120384, [+] System running normally
2025-10-09 20:08:28, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 7, Flipped 1384120448, [+] System running normally
2025-10-09 20:08:30, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 8, Flipped 1384120576, [+] System running normally
2025-10-09 20:08:32, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 9, Flipped 1384120832, [+] System running normally
2025-10-09 20:08:34, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 10, Flipped 1384121344, [+] System running normally
2025-10-09 20:08:36, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 11, Flipped 1384122368, [+] System running normally
2025-10-09 20:08:38, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 12, Flipped 1384124416, [+] System running normally
2025-10-09 20:08:40, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 13, Flipped 1384128512, [+] System running normally
2025-10-09 20:08:42, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 14, Flipped 1384136704, [+] System running normally
2025-10-09 20:08:46, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 15, Flipped 1384153088, [+] System running normally
2025-10-09 20:08:48, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 16, Flipped 1384185856, [+] System running normally
2025-10-09 20:08:50, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 17, Flipped 1384251392, [+] System running normally
2025-10-09 20:08:54, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 18, Flipped 1384382464, [+] System running normally
2025-10-09 20:08:56, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 19, Flipped 1384644608, [+] System running normally
2025-10-09 20:08:58, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 20, Flipped 1385168896, [+] System running normally
2025-10-09 20:09:00, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 21, Flipped 1386217472, [+] System running normally
2025-10-09 20:09:02, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 22, Flipped 1388314624, [+] System running normally
2025-10-09 20:09:04, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 23, Flipped 1375731712, [+] System running normally
2025-10-09 20:09:06, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 24, Flipped 1400897536, [+] System running normally
2025-10-09 20:09:08, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 25, Flipped 1350565888, [+] System running normally
2025-10-09 20:09:10, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 26, Flipped 1451229184, [+] System running normally
2025-10-09 20:09:12, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 27, Flipped 1518338048, [+] System running normally
2025-10-09 20:09:14, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 28, Flipped 1115684864, [+] System running normally
2025-10-09 20:09:16, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 29, Flipped 1920991232, [+] System running normally
2025-10-09 20:09:18, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 30, Flipped 310378496, [+] System running normally
2025-10-09 20:09:22, Instruction: 0xffff800010ba62ec, Mem: 1384120320, Flipped bit 31, Flipped 3531603968, [+] System running normally
2025-10-09 20:09:24, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 0, Flipped 4043324542, [+] System running normally
2025-10-09 20:09:26, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 1, Flipped 4043324541, [+] System running normally
2025-10-09 20:09:28, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 2, Flipped 4043324539, [+] System running normally
2025-10-09 20:09:30, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 3, Flipped 4043324535, [+] System running normally
2025-10-09 20:09:34, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 4, Flipped 4043324527, [+] System running normally
2025-10-09 20:09:36, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 5, Flipped 4043324511, [+] System running normally
2025-10-09 20:09:38, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 6, Flipped 4043324479, [+] System running normally
2025-10-09 20:09:40, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 7, Flipped 4043324671, [+] System running normally
2025-10-09 20:09:42, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 8, Flipped 4043324799, [+] System running normally
2025-10-09 20:09:44, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 9, Flipped 4043325055, [+] System running normally
2025-10-09 20:09:46, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 10, Flipped 4043323519, [+] System running normally
2025-10-09 20:09:48, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 11, Flipped 4043322495, [+] System running normally
2025-10-09 20:09:52, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 12, Flipped 4043320447, [+] System running normally
2025-10-09 20:09:54, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 13, Flipped 4043316351, [+] System running normally
2025-10-09 20:09:56, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 14, Flipped 4043340927, [+] System running normally
2025-10-09 20:09:58, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 15, Flipped 4043357311, [+] System running normally
2025-10-09 20:10:00, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 16, Flipped 4043390079, [+] System running normally
2025-10-09 20:10:02, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 17, Flipped 4043455615, [+] System running normally
2025-10-09 20:10:04, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 18, Flipped 4043586687, [+] System running normally
2025-10-09 20:10:06, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 19, Flipped 4043848831, [+] System running normally
2025-10-09 20:10:08, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 20, Flipped 4044373119, [+] System running normally
2025-10-09 20:10:10, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 21, Flipped 4045421695, [+] System running normally
2025-10-09 20:10:12, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 22, Flipped 4047518847, [+] System running normally
2025-10-09 20:10:14, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 23, Flipped 4051713151, [+] System running normally
2025-10-09 20:10:18, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 24, Flipped 4026547327, [+] System running normally
2025-10-09 20:10:20, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 25, Flipped 4076878975, [+] System running normally
2025-10-09 20:10:22, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 26, Flipped 4110433407, [+] System running normally
2025-10-09 20:10:24, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 27, Flipped 4177542271, [+] System running normally
2025-10-09 20:10:26, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 28, Flipped 3774889087, [+] System running normally
2025-10-09 20:10:28, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 29, Flipped 3506453631, [+] System running normally
2025-10-09 20:10:30, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 30, Flipped 2969582719, [+] System running normally
2025-10-09 20:10:34, Instruction: 0xffff800010ba62f0, Mem: 4043324543, Flipped bit 31, Flipped 1895840895, [+] System running normally
2025-10-09 20:10:36, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 0, Flipped 1409287112, [+] System running normally
2025-10-09 20:10:38, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 1, Flipped 1409287115, [+] System running normally
2025-10-09 20:10:40, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 2, Flipped 1409287117, [+] System running normally
2025-10-09 20:10:42, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 3, Flipped 1409287105, [+] System running normally
2025-10-09 20:10:46, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 4, Flipped 1409287129, [+] System running normally
2025-10-09 20:10:48, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 5, Flipped 1409287145, [+] System running normally
2025-10-09 20:10:50, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 6, Flipped 1409287049, [+] System running normally
2025-10-09 20:10:52, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 7, Flipped 1409286985, [+] System running normally
2025-10-09 20:10:54, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 8, Flipped 1409286857, [+] System running normally
2025-10-09 20:10:56, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 9, Flipped 1409286601, [+] System running normally
2025-10-09 20:10:58, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 10, Flipped 1409288137, [+] System running normally
2025-10-09 20:11:00, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 11, Flipped 1409289161, [+] System running normally
2025-10-09 20:11:03, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 12, Flipped 1409291209, [+] System running normally
2025-10-09 20:11:05, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 13, Flipped 1409295305, [+] System running normally
2025-10-09 20:11:07, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 14, Flipped 1409303497, [+] System running normally
2025-10-09 20:11:09, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 15, Flipped 1409319881, [+] System running normally
2025-10-09 20:11:11, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 16, Flipped 1409352649, [+] System running normally
2025-10-09 20:11:13, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 17, Flipped 1409418185, [+] System running normally
2025-10-09 20:11:15, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 18, Flipped 1409549257, [+] System running normally
2025-10-09 20:11:17, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 19, Flipped 1409811401, [+] System running normally
2025-10-09 20:11:19, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 20, Flipped 1410335689, [+] System running normally
2025-10-09 20:11:21, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 21, Flipped 1411384265, [+] System running normally
2025-10-09 20:11:23, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 22, Flipped 1413481417, [+] System running normally
2025-10-09 20:11:25, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 23, Flipped 1417675721, [+] System running normally
2025-10-09 20:11:27, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 24, Flipped 1426064329, [+] System running normally
2025-10-09 20:11:29, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 25, Flipped 1442841545, [+] System running normally
2025-10-09 20:11:33, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 26, Flipped 1342178249, [+] System running normally
2025-10-09 20:11:37, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 27, Flipped 1543504841, [+] System running normally
2025-10-09 20:11:39, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 28, Flipped 1140851657, [+] System running normally
2025-10-09 20:11:41, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 29, Flipped 1946158025, [+] System running normally
2025-10-09 20:11:43, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 30, Flipped 335545289, [+] System running normally
2025-10-09 20:11:45, Instruction: 0xffff800010ba62f4, Mem: 1409287113, Flipped bit 31, Flipped 3556770761, [+] System running normally
2025-10-09 20:11:47, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 0, Flipped 4181728293, [+] System running normally
2025-10-09 20:11:49, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 1, Flipped 4181728294, [+] System running normally
2025-10-09 20:11:51, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 2, Flipped 4181728288, [+] System running normally
2025-10-09 20:11:53, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 3, Flipped 4181728300, [+] System running normally
2025-10-09 20:11:55, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 4, Flipped 4181728308, [+] System running normally
2025-10-09 20:11:57, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 5, Flipped 4181728260, [+] System running normally
2025-10-09 20:11:59, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 6, Flipped 4181728356, [+] System running normally
2025-10-09 20:12:01, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 7, Flipped 4181728420, [+] System running normally
2025-10-09 20:12:03, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 8, Flipped 4181728548, [+] System running normally
2025-10-09 20:12:05, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 9, Flipped 4181728804, [+] System running normally
2025-10-09 20:12:07, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 10, Flipped 4181727268, [+] System running normally
2025-10-09 20:12:09, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 11, Flipped 4181726244, [+] System running normally
2025-10-09 20:12:11, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 12, Flipped 4181724196, [+] System running normally
2025-10-09 20:12:13, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 13, Flipped 4181736484, [+] System running normally
2025-10-09 20:12:15, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 14, Flipped 4181744676, [+] System running normally
2025-10-09 20:12:17, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 15, Flipped 4181761060, [+] System running normally
2025-10-09 20:12:19, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 16, Flipped 4181793828, [+] System running normally
2025-10-09 20:12:21, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 17, Flipped 4181859364, [+] System running normally
2025-10-09 20:12:23, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 18, Flipped 4181990436, [+] System running normally
2025-10-09 20:12:25, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 19, Flipped 4182252580, [+] System running normally
2025-10-09 20:12:27, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 20, Flipped 4182776868, [+] System running normally
2025-10-09 20:12:29, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 21, Flipped 4183825444, [+] System running normally
2025-10-09 20:12:31, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 22, Flipped 4177533988, [+] System running normally
2025-10-09 20:12:35, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 23, Flipped 4190116900, [+] System running normally
2025-10-09 20:12:39, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 24, Flipped 4164951076, [+] System running normally
2025-10-09 20:12:43, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 25, Flipped 4215282724, [+] System running normally
2025-10-09 20:12:45, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 26, Flipped 4248837156, [+] System running normally
2025-10-09 20:12:47, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 27, Flipped 4047510564, [+] System running normally
2025-10-09 20:12:49, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 28, Flipped 3913292836, [+] System running normally
2025-10-09 20:12:51, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 29, Flipped 3644857380, [+] System running normally
2025-10-09 20:12:53, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 30, Flipped 3107986468, [+] System running normally
2025-10-09 20:12:55, Instruction: 0xffff800010ba62f8, Mem: 4181728292, Flipped bit 31, Flipped 2034244644, [+] System running normally
2025-10-09 20:12:57, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 0, Flipped 3573751838, [+] System running normally
2025-10-09 20:13:01, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 1, Flipped 3573751837, [+] System running normally
2025-10-09 20:13:03, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 2, Flipped 3573751835, [+] System running normally
2025-10-09 20:13:05, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 3, Flipped 3573751831, [+] System running normally
2025-10-09 20:13:07, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 4, Flipped 3573751823, [+] System running normally
2025-10-09 20:13:09, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 5, Flipped 3573751871, [+] System running normally
2025-10-09 20:13:11, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 6, Flipped 3573751903, [+] System running normally
2025-10-09 20:13:13, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 7, Flipped 3573751967, [+] System running normally
2025-10-09 20:13:15, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 8, Flipped 3573752095, [+] System running normally
2025-10-09 20:13:17, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 9, Flipped 3573752351, [+] System running normally
2025-10-09 20:13:19, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 10, Flipped 3573752863, [+] System running normally
2025-10-09 20:13:21, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 11, Flipped 3573753887, [+] System running normally
2025-10-09 20:13:23, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 12, Flipped 3573755935, [+] System running normally
2025-10-09 20:13:25, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 13, Flipped 3573743647, [+] System running normally
2025-10-09 20:13:27, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 14, Flipped 3573768223, [+] System running normally
2025-10-09 20:13:29, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 15, Flipped 3573784607, [+] System running normally
2025-10-09 20:13:31, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 16, Flipped 3573686303, [+] System running normally
2025-10-09 20:13:33, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 17, Flipped 3573620767, [+] System running normally
2025-10-09 20:13:35, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 18, Flipped 3574013983, [+] System running normally
2025-10-09 20:13:39, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 19, Flipped 3574276127, [+] System running normally
2025-10-09 20:13:41, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 20, Flipped 3574800415, [+] System running normally
2025-10-09 20:13:45, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 21, Flipped 3575848991, [+] System running normally
2025-10-09 20:13:47, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 22, Flipped 3577946143, [+] System running normally
2025-10-09 20:13:49, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 23, Flipped 3582140447, [+] System running normally
2025-10-09 20:13:51, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 24, Flipped 3556974623, [+] System running normally
2025-10-09 20:13:53, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 25, Flipped 3607306271, [+] System running normally
2025-10-09 20:13:56, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 26, Flipped 3506642975, [+] System running normally
2025-10-09 20:13:58, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 27, Flipped 3707969567, [+] System running normally
2025-10-09 20:14:00, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 28, Flipped 3305316383, [+] System running normally
2025-10-09 20:14:02, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 29, Flipped 4110622751, [+] System running normally
2025-10-09 20:14:04, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 30, Flipped 2500010015, [+] System running normally
2025-10-09 20:14:08, Instruction: 0xffff800010ba62fc, Mem: 3573751839, Flipped bit 31, Flipped 1426268191, [+] System running normally
2025-10-09 20:14:10, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 0, Flipped 3019899749, [+] System running normally
2025-10-09 20:14:14, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 1, Flipped 3019899750, [+] System running normally
2025-10-09 20:14:16, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 2, Flipped 3019899744, [+] System running normally
2025-10-09 20:14:18, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 3, Flipped 3019899756, [+] System running normally
2025-10-09 20:14:20, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 4, Flipped 3019899764, [+] System running normally
2025-10-09 20:14:24, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 5, Flipped 3019899716, [+] System running normally
2025-10-09 20:14:26, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 6, Flipped 3019899684, [+] System running normally
2025-10-09 20:14:28, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 7, Flipped 3019899876, [+] System running normally
2025-10-09 20:14:30, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 8, Flipped 3019899492, [+] System running normally
2025-10-09 20:14:32, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 9, Flipped 3019899236, [+] System running normally
2025-10-09 20:14:34, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 10, Flipped 3019900772, [+] System running normally
2025-10-09 20:14:36, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 11, Flipped 3019901796, [+] System running normally
2025-10-09 20:14:38, Instruction: 0xffff800010ba6300, Mem: 3019899748, Flipped bit 12, Flipped 3019903844, [+] System running normally
