2025-10-30 14:07:40, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 0, Flipped 2847374332, [+] System running normally
2025-10-30 14:08:15, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 15, Flipped 2847407101, [+] System running normally
2025-10-30 14:08:17, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 16, Flipped 2847308797, [+] System running normally
2025-10-30 14:08:19, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 17, Flipped 2847243261, [+] System running normally
2025-10-30 14:08:21, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 18, Flipped 2847112189, [+] System running normally
2025-10-30 14:08:23, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 19, Flipped 2847898621, [+] System running normally
2025-10-30 14:08:25, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 20, Flipped 2846325757, [+] System running normally
2025-10-30 14:08:29, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 21, Flipped 2845277181, [+] System running normally
2025-10-30 14:08:31, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 22, Flipped 2851568637, [+] System running normally
2025-10-30 14:08:33, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 23, Flipped 2838985725, [+] System running normally
2025-10-30 14:08:35, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 24, Flipped 2830597117, [+] System running normally
2025-10-30 14:08:37, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 25, Flipped 2880928765, [+] System running normally
2025-10-30 14:08:39, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 26, Flipped 2914483197, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x86000006', 'raw_match': '[  198.534863]   ESR = 0x86000006'}, {'EC': '0x21 / Instruction Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-10-30 14:12:04, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 27, Flipped 2713156605, [+] System running normally
2025-10-30 14:12:06, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 28, Flipped 3115809789, [+] System running normally
2025-10-30 14:12:08, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 29, Flipped 2310503421, [!] Exception detected! [{'flag': 'Error'}, {'Oops': 'Oops - BUG: 0 [#1] PREEMPT SMP'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-10-30 14:15:32, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 30, Flipped 3921116157, [+] System running normally
2025-10-30 14:15:34, Instruction: 0xffff800010b2cc88, Mem: 2847374333, Flipped bit 31, Flipped 699890685, [+] System running normally
2025-10-30 14:15:36, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 0, Flipped 2432697340, [+] System running normally
2025-10-30 14:15:38, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 1, Flipped 2432697343, [+] System running normally
2025-10-30 14:15:40, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 2, Flipped 2432697337, [+] System running normally
2025-10-30 14:15:42, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 3, Flipped 2432697333, [+] System running normally
2025-10-30 14:15:46, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 4, Flipped 2432697325, [+] System running normally
2025-10-30 14:15:48, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 5, Flipped 2432697309, [+] System running normally
2025-10-30 14:15:50, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 6, Flipped 2432697277, [+] System running normally
2025-10-30 14:15:52, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 7, Flipped 2432697213, [+] System running normally
2025-10-30 14:15:54, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 8, Flipped 2432697085, [+] System running normally
2025-10-30 14:15:56, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 9, Flipped 2432696829, [+] System running normally
2025-10-30 14:15:58, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 10, Flipped 2432698365, [+] System running normally
2025-10-30 14:16:00, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 11, Flipped 2432699389, [+] System running normally
2025-10-30 14:16:02, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 12, Flipped 2432701437, [+] System running normally
2025-10-30 14:16:04, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 13, Flipped 2432705533, [+] System running normally
2025-10-30 14:16:06, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 14, Flipped 2432713725, [+] System running normally
2025-10-30 14:16:10, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 15, Flipped 2432730109, [+] System running normally
2025-10-30 14:16:12, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 16, Flipped 2432762877, [+] System running normally
2025-10-30 14:16:14, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 17, Flipped 2432828413, [+] System running normally
2025-10-30 14:16:16, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 18, Flipped 2432959485, [+] System running normally
2025-10-30 14:16:18, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 19, Flipped 2433221629, [+] System running normally
2025-10-30 14:16:20, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 20, Flipped 2433745917, [+] System running normally
2025-10-30 14:16:22, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 21, Flipped 2434794493, [+] System running normally
2025-10-30 14:16:24, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 22, Flipped 2436891645, [+] System running normally
2025-10-30 14:16:26, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 23, Flipped 2441085949, [+] System running normally
2025-10-30 14:16:28, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 24, Flipped 2415920125, [+] System running normally
2025-10-30 14:16:30, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 25, Flipped 2466251773, [+] System running normally
2025-10-30 14:16:32, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 26, Flipped 2499806205, [+] System running normally
2025-10-30 14:16:34, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 27, Flipped 2566915069, [+] System running normally
2025-10-30 14:16:38, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 28, Flipped 2164261885, [+] System running normally
2025-10-30 14:16:40, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 29, Flipped 2969568253, [+] System running normally
2025-10-30 14:16:42, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 30, Flipped 3506439165, [+] System running normally
2025-10-30 14:16:44, Instruction: 0xffff800010b2cc8c, Mem: 2432697341, Flipped bit 31, Flipped 285213693, [+] System running normally
2025-10-30 14:16:46, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 0, Flipped 2835436530, [+] System running normally
2025-10-30 14:16:48, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 1, Flipped 2835436529, [+] System running normally
2025-10-30 14:16:50, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 2, Flipped 2835436535, [+] System running normally
2025-10-30 14:16:52, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 3, Flipped 2835436539, [+] System running normally
2025-10-30 14:16:54, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 4, Flipped 2835436515, [+] System running normally
2025-10-30 14:16:56, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 5, Flipped 2835436499, [+] System running normally
2025-10-30 14:16:58, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 6, Flipped 2835436467, [+] System running normally
2025-10-30 14:17:02, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 7, Flipped 2835436403, [+] System running normally
2025-10-30 14:17:04, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 8, Flipped 2835436275, [+] System running normally
2025-10-30 14:20:26, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 9, Flipped 2835436019, [+] System running normally
2025-10-30 14:20:28, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 10, Flipped 2835437555, [+] System running normally
2025-10-30 14:20:30, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 11, Flipped 2835438579, [+] System running normally
2025-10-30 14:20:33, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 12, Flipped 2835432435, [+] System running normally
2025-10-30 14:20:37, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 13, Flipped 2835444723, [+] System running normally
2025-10-30 14:20:39, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 14, Flipped 2835420147, [+] System running normally
2025-10-30 14:20:41, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 15, Flipped 2835469299, [+] System running normally
2025-10-30 14:20:43, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 16, Flipped 2835370995, [+] System running normally
2025-10-30 14:20:47, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 17, Flipped 2835567603, [+] System running normally
2025-10-30 14:20:49, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 18, Flipped 2835698675, [+] System running normally
2025-10-30 14:20:51, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 19, Flipped 2835960819, [+] System running normally
2025-10-30 14:20:53, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 20, Flipped 2836485107, [+] System running normally
2025-10-30 14:20:55, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 21, Flipped 2837533683, [+] System running normally
2025-10-30 14:20:57, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 22, Flipped 2839630835, [+] System running normally
2025-10-30 14:20:59, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 23, Flipped 2843825139, [+] System running normally
2025-10-30 14:21:01, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 24, Flipped 2818659315, [+] System running normally
2025-10-30 14:21:03, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 25, Flipped 2868990963, [+] System running normally
2025-10-30 14:21:05, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 26, Flipped 2902545395, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000004', 'raw_match': '[  229.402850]   ESR = 0x96000004'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-10-30 14:24:27, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 27, Flipped 2701218803, [+] System running normally
2025-10-30 14:24:29, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 28, Flipped 3103871987, [+] System running normally
2025-10-30 14:24:31, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 29, Flipped 2298565619, [+] System running normally
2025-10-30 14:24:33, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 30, Flipped 3909178355, [+] System running normally
2025-10-30 14:24:35, Instruction: 0xffff800010b2cc90, Mem: 2835436531, Flipped bit 31, Flipped 687952883, [+] System running normally
2025-10-30 14:24:37, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 0, Flipped 2852127730, [+] System running normally
2025-10-30 14:24:41, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 1, Flipped 2852127729, [+] System running normally
2025-10-30 14:24:43, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 2, Flipped 2852127735, [+] System running normally
2025-10-30 14:24:45, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 3, Flipped 2852127739, [+] System running normally
2025-10-30 14:24:47, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 4, Flipped 2852127715, [+] System running normally
2025-10-30 14:24:49, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 5, Flipped 2852127699, [+] System running normally
2025-10-30 14:24:51, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 6, Flipped 2852127667, [+] System running normally
2025-10-30 14:24:53, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 7, Flipped 2852127603, [+] System running normally
2025-10-30 14:24:55, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 8, Flipped 2852127475, [+] System running normally
2025-10-30 14:24:57, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 9, Flipped 2852127219, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000004', 'raw_match': '[  221.313596]   ESR = 0x96000004'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-10-30 14:28:19, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 10, Flipped 2852128755, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000004', 'raw_match': '[  193.813380]   ESR = 0x96000004'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-10-30 14:31:41, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 11, Flipped 2852129779, [+] System running normally
2025-10-30 14:31:43, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 12, Flipped 2852131827, [+] System running normally
2025-10-30 14:31:45, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 13, Flipped 2852135923, [+] System running normally
2025-10-30 14:31:47, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 14, Flipped 2852144115, [+] System running normally
2025-10-30 14:31:49, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 15, Flipped 2852160499, [+] System running normally
2025-10-30 14:31:51, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 16, Flipped 2852193267, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000004', 'raw_match': '[  205.907921]   ESR = 0x96000004'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-10-30 14:35:15, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 17, Flipped 2852258803, [+] System running normally
2025-10-30 14:35:17, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 18, Flipped 2852389875, [+] System running normally
2025-10-30 14:35:21, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 19, Flipped 2852652019, [+] System running normally
2025-10-30 14:35:23, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 20, Flipped 2853176307, [+] System running normally
2025-10-30 14:35:25, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 21, Flipped 2854224883, [+] System running normally
2025-10-30 14:35:27, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 22, Flipped 2856322035, [+] System running normally
2025-10-30 14:35:29, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 23, Flipped 2860516339, [+] System running normally
2025-10-30 14:35:31, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 24, Flipped 2868904947, [+] System running normally
2025-10-30 14:35:34, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 25, Flipped 2818573299, [+] System running normally
2025-10-30 14:35:36, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 26, Flipped 2919236595, [+] System running normally
2025-10-30 14:35:38, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 27, Flipped 2717910003, [+] System running normally
2025-10-30 14:35:40, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 28, Flipped 3120563187, [+] System running normally
2025-10-30 14:35:42, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 29, Flipped 2315256819, [+] System running normally
2025-10-30 14:35:44, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 30, Flipped 3925869555, [+] System running normally
2025-10-30 14:35:46, Instruction: 0xffff800010b2cc94, Mem: 2852127731, Flipped bit 31, Flipped 704644083, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000004', 'raw_match': '[  222.631698]   ESR = 0x96000004'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-10-30 14:39:08, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 0, Flipped 2835504116, [+] System running normally
2025-10-30 14:39:10, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 1, Flipped 2835504119, [+] System running normally
2025-10-30 14:39:14, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 2, Flipped 2835504113, [+] System running normally
2025-10-30 14:39:16, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 3, Flipped 2835504125, [+] System running normally
2025-10-30 14:39:18, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 4, Flipped 2835504101, [+] System running normally
2025-10-30 14:39:20, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 5, Flipped 2835504085, [+] System running normally
2025-10-30 14:39:24, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 6, Flipped 2835504053, [+] System running normally
2025-10-30 14:39:26, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 7, Flipped 2835503989, [+] System running normally
2025-10-30 14:39:28, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 8, Flipped 2835503861, [+] System running normally
2025-10-30 14:39:30, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 9, Flipped 2835503605, [+] System running normally
2025-10-30 14:39:32, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 10, Flipped 2835505141, [+] System running normally
2025-10-30 14:39:36, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 11, Flipped 2835502069, [+] System running normally
2025-10-30 14:39:38, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 12, Flipped 2835500021, [+] System running normally
2025-10-30 14:39:40, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 13, Flipped 2835512309, [+] System running normally
2025-10-30 14:39:42, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 14, Flipped 2835487733, [+] System running normally
2025-10-30 14:39:44, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 15, Flipped 2835536885, [+] System running normally
2025-10-30 14:39:46, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 16, Flipped 2835569653, [+] System running normally
2025-10-30 14:39:50, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 17, Flipped 2835373045, [+] System running normally
2025-10-30 14:39:52, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 18, Flipped 2835766261, [+] System running normally
2025-10-30 14:39:54, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 19, Flipped 2836028405, [+] System running normally
2025-10-30 14:39:58, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 20, Flipped 2836552693, [+] System running normally
2025-10-30 14:40:00, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 21, Flipped 2837601269, [+] System running normally
2025-10-30 14:40:02, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 22, Flipped 2839698421, [+] System running normally
2025-10-30 14:40:04, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 23, Flipped 2843892725, [+] System running normally
2025-10-30 14:40:06, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 24, Flipped 2818726901, [+] System running normally
2025-10-30 14:40:10, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 25, Flipped 2869058549, [+] System running normally
2025-10-30 14:40:12, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 26, Flipped 2902612981, [+] System running normally
2025-10-30 14:40:14, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 27, Flipped 2701286389, [+] System running normally
2025-10-30 14:40:16, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 28, Flipped 3103939573, [+] System running normally
2025-10-30 14:40:18, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 29, Flipped 2298633205, [+] System running normally
2025-10-30 14:40:20, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 30, Flipped 3909245941, [+] System running normally
2025-10-30 14:40:22, Instruction: 0xffff800010b2cc98, Mem: 2835504117, Flipped bit 31, Flipped 688020469, [+] System running normally
2025-10-30 14:40:26, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 0, Flipped 2432737303, [+] System running normally
2025-10-30 14:40:28, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 1, Flipped 2432737300, [+] System running normally
2025-10-30 14:40:30, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 2, Flipped 2432737298, [+] System running normally
2025-10-30 14:40:32, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 3, Flipped 2432737310, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000046', 'raw_match': '[  266.335478]   ESR = 0x96000046'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-10-30 14:43:54, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 4, Flipped 2432737286, [+] System running normally
2025-10-30 14:43:56, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 5, Flipped 2432737334, [+] System running normally
2025-10-30 14:44:00, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 6, Flipped 2432737366, [+] System running normally
2025-10-30 14:44:02, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 7, Flipped 2432737430, [+] System running normally
2025-10-30 14:44:04, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 8, Flipped 2432737558, [+] System running normally
2025-10-30 14:44:06, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 9, Flipped 2432737814, [+] System running normally
2025-10-30 14:44:08, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 10, Flipped 2432738326, [+] System running normally
2025-10-30 14:44:10, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 11, Flipped 2432739350, [+] System running normally
2025-10-30 14:44:12, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 12, Flipped 2432741398, [+] System running normally
2025-10-30 14:44:14, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 13, Flipped 2432729110, [+] System running normally
2025-10-30 14:44:16, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 14, Flipped 2432753686, [+] System running normally
2025-10-30 14:44:18, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 15, Flipped 2432704534, [+] System running normally
2025-10-30 14:44:20, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 16, Flipped 2432802838, [!] Exception detected! [{'flag': 'Error'}, {'ESR': '0x96000046', 'raw_match': '[  218.495868]   ESR = 0x96000046'}, {'EC': '0x25 / Data Abort from current EL'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt'}, {'Kernel': 'Kernel panic - not syncing: Fatal exception in interrupt ]---'}]
2025-10-30 14:47:43, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 17, Flipped 2432868374, [+] System running normally
2025-10-30 14:47:45, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 18, Flipped 2432999446, [+] System running normally
2025-10-30 14:47:47, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 19, Flipped 2433261590, [+] System running normally
2025-10-30 14:47:49, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 20, Flipped 2433785878, [+] System running normally
2025-10-30 14:47:51, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 21, Flipped 2434834454, [+] System running normally
2025-10-30 14:47:53, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 22, Flipped 2436931606, [+] System running normally
2025-10-30 14:47:55, Instruction: 0xffff800010b2cc9c, Mem: 2432737302, Flipped bit 23, Flipped 2441125910, [+] System running normally
